"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Salikhov T.K.; Karagoishin Z.M.; Svanbayeva Z.S.; Inkarova Z.I.; Dukenbayeva A.D.; Sagatbayev E.N.; Rakisheva A.K.","Salikhov, T.K. (56144864900); Karagoishin, Zh. M. (57197704955); Svanbayeva, Z.S. (57205141090); Inkarova, Zh. I. (57205143113); Dukenbayeva, A.D. (57205143956); Sagatbayev, E.N. (57213421303); Rakisheva, A.K. (57208009667)","56144864900; 57197704955; 57205141090; 57205143113; 57205143956; 57213421303; 57208009667","Geoecological assessment of the projected state nature reserve ‘Bokeyorda’ in west Kazakhstan Region","2016","Oxidation Communications","39","4-II","","3579","3590","11","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020458189&partnerID=40&md5=89133ea4da55211d2bb82c5a8badbccf","Presented paper deals with the environmental protection problems on the example of the project of the State Natural Reserve ‘Bokeyorda’ in Western Kazakhstan region. During the development and implementation of the project the main goal was to assess the impact of natural and anthropogenic factors on the unique natural ecosystems and their biological diversity. The natural conditions were investigated and the key plant and animal species were identified, their current status and the human impact were evaluated as well as recommendations for the conservation of species and their habitats were made. Based on the ecosystem analysis and GIS technology the most important areas for biodiversity conservation were revealed, the reserve boundaries were defined, zoning of functional areas were performed and maps were prepared. © 2016, Scibulcom Ltd. All rights reserved.","Ecosystem; Flora and fauna; Geoecological assessment; Protected areas; Steppe","Article","Final","","Scopus","2-s2.0-85020458189"
"Li Z.Y.; Guo H.; Wang J.; Bai H.F.; Shi J.L.","Li, Zhao Yang (56011539600); Guo, Hong (56011058500); Wang, Jing (56011591300); Bai, Hui Fang (56010667200); Shi, Jin Lian (56009393300)","56011539600; 56011058500; 56011591300; 56010667200; 56009393300","Study on protection and development in Beijing labagoumen natural reserve by GIS","2014","Applied Mechanics and Materials","472","","","889","893","4","0","10.4028/www.scientific.net/AMM.472.889","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892751011&doi=10.4028%2fwww.scientific.net%2fAMM.472.889&partnerID=40&md5=d424e35596b0678c29d3f1c9e85a6c22","Nature Reserve takes an important part both biodiversity conservation and community economic development. But its concentric circular zoning has been a conflict to its biodiversity conservation and community economic development. Taking Beijing Labagoumen Nature Reserve as studying area, multi-data resource as Digital Elevation Model and geo-spatial data, also spatial analyst technology including GIS and RS, which make expert knowledge related to spatial raster to express spatial raster's importance according its eco-attribute. As an attempt, three and four level of eco-evaluation in this nature reserve was got through multi-layer raster map algebra operation based on Multi-factor Weighted Model by using spatial analyst module of ArcGis9.x released by ESRI. © (2014) Trans Tech Publications, Switzerland.","Ecological protection and development; GIS; Nature reserve; Zoning","Conference paper","Final","","Scopus","2-s2.0-84892751011"
"Ma C.; Zhang X.; Chen W.; Zhang G.; Duan H.; Ju M.; Li H.; Yang Z.","Ma, Chun (55235549800); Zhang, Xiaochun (58451730600); Chen, Weiping (57140985800); Zhang, Guangyu (57198462718); Duan, Huihui (55628396700); Ju, Meiting (8318470900); Li, Hongyuan (16204819100); Yang, Zhihong (55544080900)","55235549800; 58451730600; 57140985800; 57198462718; 55628396700; 8318470900; 16204819100; 55544080900","China's special marine protected area policy: Trade-off between economic development and marine conservation","2013","Ocean and Coastal Management","76","","","1","11","10","55","10.1016/j.ocecoaman.2013.02.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875274111&doi=10.1016%2fj.ocecoaman.2013.02.007&partnerID=40&md5=c0503418033f581f70189f26f8be0214","Special Marine Protected Areas (SMPAs) in China aim to achieve diverse protection objectives, and permit temperate economic activities. The designation objectives and scopes, zoning schemes, management tasks, and environmental requirements of SMPA are different from Marine Natural Reserve (MNR). Different voices from supporters and opponents were raised on this new kind of policy. For a better understanding on this policy, we analyzed SMPA and its relationship and difference with MNR, dissected development of SMPAs in China, and discussed its governance, management and experiences. The main findings are: (1) SMPA policy is a complementary strategy for MNR policy. SMPA policy can reduce the conflicts and narrow the gap between conservation and local economic development; (2) The coverage of SMPA has sharply increased since the establishment of the first national SMPA in 2005,which demonstrates the Chinese government has paid great attention to multiple-use of marine resources in order to achieve sustainable development. (3) Lack of financial funding, baseline data and scientific research are affecting the effectiveness of conservation and management of SMPA policy. In order to ameliorate the SMPA policy, we suggest (1) making overall strategic planning for multiple-use of marine resources, (2) coordinating the role of central government and local government, and considering the up-bottom system as a complement, and (3) increasing financial support from central government and local government, accumulating baseline data, and conducting systematic scientific research. Given all the features of SMPA Policy, we considered it as an emerging and key mechanism for protection of marine ecosystem and a trade-off between ecological conservation and economic development in China. © 2013 Elsevier Ltd.","","Article","Final","","Scopus","2-s2.0-84875274111"
"Rocklin D.; Tomasini J.-A.; Culioli J.-M.; Pelletier D.; Mouillot D.","Rocklin, Delphine (31367611000); Tomasini, Jean-Antoine (6602153452); Culioli, Jean-Michel (7003956541); Pelletier, Dominique (7101836602); Mouillot, David (6701389009)","31367611000; 6602153452; 7003956541; 7101836602; 6701389009","Spearfishing regulation benefits artisanal fisheries: The ReGS indicator and its application to a multiple-use Mediterranean marine protected area","2011","PLoS ONE","6","9","e23820","","","","15","10.1371/journal.pone.0023820","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053108074&doi=10.1371%2fjournal.pone.0023820&partnerID=40&md5=13fe67d23d3e633998d84f9ef623cbcb","The development of fishing efficiency coupled with an increase of fishing effort led to the overexploitation of numerous natural marine resources. In addition to this commercial pressure, the impact of recreational activities on fish assemblages remains barely known. Here we examined the impact of spearfishing limitation on resources in a marine protected area (MPA) and the benefit it provides for the local artisanal fishery through the use of a novel indicator. We analysed trends in the fish assemblage composition using artisanal fisheries data collected in the Bonifacio Strait Natural Reserve (BSNR), a Mediterranean MPA where the spearfishing activity has been forbidden over 15% of its area. Fish species were pooled into three response groups according to their target level by spearfishing. We developed the new flexible ReGS indicator reflecting shifts in species assemblages according to the relative abundance of each response group facing external pressure. The catch per unit effort (CPUE) increased by ca. 60% in the BSNR between 2000 and 2007, while the MPA was established in 1999. The gain of CPUE strongly depended on the considered response group: for the highly targeted group, the CPUE doubled while the CPUE of the untargeted group increased by only 15.5%. The ReGS value significantly increased from 0.31 to 0.45 (on a scale between 0 and 1) in the general perimeter of this MPA while it has reached a threshold of 0.43, considered as a reference point, in the area protected from spearfishing since 1982. Our results demonstrated that limiting recreational fishing by appropriate zoning in multiple-use MPAs represents a real benefit for artisanal fisheries. More generally we showed how our new indicator may reveal a wide range of impacts on coastal ecosystems such as global change or habitat degradation. © 2011 Rocklin et al.","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-80053108074"
"Hu F.; Pang G.; Qian Z.","Hu, Fenning (44261285700); Pang, Guizheng (46661350500); Qian, Zhuangzhi (8560161600)","44261285700; 46661350500; 8560161600","Evaluation on the ecotourism suitability of natural reserve of Taibai Mountain","2011","ISWREP 2011 - Proceedings of 2011 International Symposium on Water Resource and Environmental Protection","4","","5893402","2567","2570","3","0","10.1109/ISWREP.2011.5893402","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960710457&doi=10.1109%2fISWREP.2011.5893402&partnerID=40&md5=f89608870b67be4a395629466f95608c","The paper, on the basis of analyzing the actual conditions of natural reserve of Taibai Mountain and drowning on domestic and international research achievements, established the evaluation indicators system and grading standard of ecotourism suitability of natural reserve of Taibai Mountain. Analytic hierarchy process (AHP) was adopted to determine the weight of the evaluation indicators, and multi objective linear weighting function was adopted based on MAPGIS technique for the evaluation, thus formulated the ecotourism suitability graduated map and functional zoning map. These provided decision support to the plan and development of ecotourism of natural reserve of Taibai Mountain, which will be of great significance for the development of ecotourism of similar zones. © 2011 IEEE.","ecotourism suitability; indicators system; natural reserve of Taibai mountain","Conference paper","Final","","Scopus","2-s2.0-79960710457"
"Kong D.; Luo W.; Huan G.; Li Z.; Yang X.","Kong, Dejun (56242769000); Luo, Weixiong (57203479935); Huan, Guoyue (57203004741); Li, Zhuoqing (8650467000); Yang, Xiaojun (55683837000)","56242769000; 57203479935; 57203004741; 8650467000; 55683837000","Habitat use, preference and utilization distribution of two crane species (Genus: Grus) in Huize National Nature Reserve, Yunnan-Guizhou Plateau, China","2021","PeerJ","6","","e5105","","","","0","10.7287/peerj.preprints.3387","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100124642&doi=10.7287%2fpeerj.preprints.3387&partnerID=40&md5=45a6687eecbc6c022ed7eb63901e65a7","Understanding habitat use and spatial distribution of wildlife could help conservationists determine high-priority areas and enhance conservation efforts. In this study, we studied habitat use, preference and utilization distribution of two Gruidae species (Black-necked Cranes Grus nigricollis and Eurasian Cranes G. grus) in Huize National Natural Reserve, Yunnan-Guizhou Plateau, SW China. Line transect method indicated that the anthropogenic habitat of farmland was utilized the most by these two species (>90% of flocks observed for both). But Black-necked Cranes preferred marsh to farmland and grassland while Eurasian Cranes favored grassland in our study. Nearly all the Black-necked Cranes (99.30% of the flocks observed) utilized habitats in the core area of the reserve, covering an area of 283.84 ha close to the common roost. Eurasian Cranes were mostly (55.39% of the flocks observed) distributed in the buffer zone with higher elevation and further distance to the roost, covering an area of 558.73 ha. We believe that our findings could help guide habitat management, functional zoning planning and adjustment in the future. According to our results, we recommended restoration of more wetlands, retain large areas of farmland, and protect the areas that cranes use most frequently. © 2018 PeerJ Inc.. All rights reserved.","Coexistence; Grus grus; Grus nigricollis; Habitat use; Spatial distribution; Threatened species","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85100124642"
"Françoso R.; Machado R.B.; Brandão R.","Françoso, Renata (36179498100); Machado, Ricardo B. (8215058500); Brandão, Reuber (7004843773)","36179498100; 8215058500; 7004843773","A framework for biological zoning of protected areas of the Brazilian Cerrado; [Uma ferramenta para o zoneamento biológico de áreas protegidas no Cerrado brasileiro]","2014","Neotropical Biology and Conservation","9","1","","2","8","6","1","10.4013/nbc.2014.91.01","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901397566&doi=10.4013%2fnbc.2014.91.01&partnerID=40&md5=46ad77c80f0e8e088eedcfeb7fe32243","The zoning of protected areas is a fundamental step in planning for natural resources management and conservation. However, its development presents several challenging features. Sometimes, the biological aspects of the protected areas are poorly considered in the final zoning, which becomes a controversial issue, since the biological conservation is the main objective of these areas. Herein, we propose an index to evaluate the biological relevance of different landscape units (Biological Importance Value - BIV), specially tailored for the zoning of protected areas. We also present a case study where the BIV was used for zoning the Serra do Tombador Natural Reserve (RNST). A layer of spatial information was produced attributing a BIV value for each landscape entity. This layer was included in a weighted overlay framework with the vegetation types, hydrograph, and roads. We found eight different biological relevance levels in the RNST. These values composed the basis for the final reserve zoning. The BIV associated with the weighted overlay framework reflected the observed faunal distribution in the area and represents an important tool for the implementation of protected areas management practices. © 2014 by Unisinos.","Biological relevance index; Protected areas zoning; Serra do Tombador Natural Reserve; Weighted overlay","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84901397566"
"Wu X.; Yi C.; Cui W.; Zhang Z.; Yan C.; Xie X.","Wu, Xiaopei (58101355300); Yi, Can (58101704700); Cui, Wenwen (58100994500); Zhang, Zhi (58101879300); Yan, Chen (57221514168); Xie, Xiangcai (58100819100)","58101355300; 58101704700; 58100994500; 58101879300; 57221514168; 58100819100","Analysis of Human Disturbance Features in Natural Reserves and Empirical Research on Their Restoration: A Case Study of the Huangchulin Nature Reserve in Fujian Province","2023","Sustainability (Switzerland)","15","3","2017","","","","1","10.3390/su15032017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147952212&doi=10.3390%2fsu15032017&partnerID=40&md5=363b4e20ea9cb9c50deb25ad3d0debf7","Nature reserves are important areas delineated to protect natural resources and the ecological environment. They have various ecological functions, such as protecting biodiversity, conserving water sources, and purifying the atmosphere. However, with the rapid development of the social economy, human disturbance in natural reserves is becoming increasingly pronounced, which has seriously damaged the initial balance of the ecosystem in the reserves. Based on the specific local conditions of the reserve, this study selects four influencing factors that are closely related to human activities, namely, land use, vegetation cover, slope and elevation as the primary evaluation indicators of human disturbance. With the support of an analytic hierarchy process and GIS technology, this study conducts a comprehensive analysis of human disturbance in the Fujian Huangchulin Nature Reserve and proposes corresponding ecological restoration measures for different disturbed areas. The results indicate that the area that is seriously and completely disturbed by human activities is primarily that around the river basin, which accounts for 25.30% of the total area. The lightly disturbed area covers the largest area, followed by the intermediately disturbed area, which accounts for 37.91% and 32.96% of the total area, respectively. The smallest area is slightly disturbed and accounts for only 3.83% of the total area. Based on the comprehensive analytical results of human disturbance and the functional zoning of the natural reserves in China, the Shitan Stream area in the Huangchulin Nature Reserve is selected as the experimental site for ecological restoration. According to the human disturbance in different sectors of the Shitan Stream area and the concept of “Mountain, Water, Forest, Field, Lake and Grass,” the ecological restoration measures of the “Four-tiered Protection System” are proposed in the experiment, which are the river system restoration, brownfield restoration, soil and water conservation, and original ecological protection areas. Natural regeneration and active restoration are then combined to be implemented in different areas, and the ecological problems of brown land pollution, water system cutoff, and soil erosion have been effectively solved, and the plant coverage increased substantially. In summary, this study shows that only by taking social, economic and ecological factors into account and establishing a sound management system can restoration work proceed smoothly and achieve more environmental benefits. © 2023 by the authors.","analytic hierarchy process; ecological restoration; GIS; human disturbance; natural reserve","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85147952212"
"Kujirakwinja D.; Plumptre A.J.; Twendilonge A.; Mitamba G.; Mubalama L.; Wasso J.D.D.; Kisumbu O.; Shamavu B.; Ayebare S.; Bitomwa O.; Tshombe R.","Kujirakwinja, D. (15073000300); Plumptre, A.J. (6603665150); Twendilonge, A. (57200546614); Mitamba, G. (57118271800); Mubalama, L. (56440156800); Wasso, J.D.D. (57200541662); Kisumbu, O. (57200540945); Shamavu, B. (57200546280); Ayebare, S. (56919750700); Bitomwa, O. (57200540965); Tshombe, R. (6507032524)","15073000300; 6603665150; 57200546614; 57118271800; 56440156800; 57200541662; 57200540945; 57200546280; 56919750700; 57200540965; 6507032524","Establishing the Itombwe Natural Reserve: Science, participatory consultations and zoning","2019","ORYX","53","1","","49","57","8","8","10.1017/S0030605317001478","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041577932&doi=10.1017%2fS0030605317001478&partnerID=40&md5=71becc3ce81dcc6cda7f943c140bd390","Biological surveys starting in the 1950s provided clear evidence that the Itombwe Massif, located in eastern Democratic Republic of Congo, is one of the most important areas for conservation in Africa. Further surveys in the mid 1990s and early 2000s showed key species were still present and could be conserved. Following a report on these surveys the Ministry of Environment established the Itombwe Reserve in 2006 without consulting local communities who have legitimate customary rights to reside within the area and use the region's natural resources. Although creating the Reserve was within the government's legal authority, its establishment violated the rights of the people there. Here we report over a decade of work by a consortium of international and national human rights and conservation NGOs, the local communities and the protected areas authority (Institut Congolais pour la Conservation de la Nature), to remediate this taking of customary rights. Starting in 2008 these partners began a participatory process with all 550 villages within and around the boundary of the Reserve. Using a community resource use mapping approach, developed from best practices, the team helped communities determine the boundary of the Reserve, and then pilot participatory zoning to identify zones for settlements, agriculture, hunting, gathering of non-timber forest products, and conservation. This process secured the customary rights of long-term residents in the Reserve and protected their lands from being taken by non-rights holders. As a result of this work the use rights of communities were largely restored and the communities agreed on 23 June 2016 to formalize the boundaries of the renamed Itombwe Nature Reserve. © 2018 Fauna and Flora International.","Biodiversity; community engagement; conflict resolution; Democratic Republic of Congo; DRC; Itombwe Reserve; protected area establishment","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85041577932"
"Chuma G.B.; Cirezi N.C.; Mondo J.M.; Mugumaarhahama Y.; Ganza D.M.; Katcho K.; Mushagalusa G.N.; Serge S.S.","Chuma, Géant Basimine (57220102167); Cirezi, Nadège Cizungu (57211711004); Mondo, Jean Mubalama (57194703099); Mugumaarhahama, Yannick (56888755200); Ganza, Deckas Mushamalirwa (57224681495); Katcho, Karume (55053597100); Mushagalusa, Gustave Nachigera (24402930300); Serge, Serge Schmitz (57226350717)","57220102167; 57211711004; 57194703099; 56888755200; 57224681495; 55053597100; 24402930300; 57226350717","Suitability for agroforestry implementation around Itombwe Natural Reserve (RNI), eastern DR Congo: Application of the Analytical Hierarchy Process (AHP) approach in geographic information system tool","2021","Trees, Forests and People","6","","100125","","","","10","10.1016/j.tfp.2021.100125","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111246261&doi=10.1016%2fj.tfp.2021.100125&partnerID=40&md5=03fb1edea74aac36880eca57731d2dca","The choice of appropriate land use suitability based on specific environmental and socio-economic factors could ensure sustainable land resource management in rural areas. Different land use suitability assessment approaches exist and have been successfully applied for agroforestry systems, natural or semi-natural ecosystems. In this study, different land use suitability levels for agroforestry were assessed around the Itombwe Natural Reserve (RNI), eastern Democratic Republic of Congo (DRC). Information related to soil unity, topography, climate, road infrastructures, rivers, villages, land use and land cover were analyzed using the Analytical Hierarchy Process (AHP). Moreover, spatial analyses were conducted for determining the matrix that confronts adopted variables and their corresponding weights. After performing the analyses in ArcGIS 10.7, results allowed identifying four agroforestry suitability zones, ranging from very high (~29.2%), high (~22.3%), moderate (~34%) and low (~14.5%) suitable zones. Suitability classes varied with locations (districts). The zoning around the RNI and the produced suitability maps from this study provide a valuable resource for decision-making in targeting areas suitable for agroforestry, and thus, contribute in preserving the RNI from degradation related to inadequate anthropogenic practices. © 2021","Abbreviations:; AF:; Agroforestry; AHP:; analytical hierarchy process; Aw:; CFB:; CI:; consistency index; CR: consistency ratio; CWB:; DEM:; Democratic Republic of Congo; digital elevation model; DRC/DR Congo:; FAO:; Food and Agriculture Organization of the United Nations; geographic information system; GIS; GIS:; Land use suitability; MCDA:; Multi-Criteria Analysis (MCA); multi-criteria decision analysis; non-timber forest products; NTFPs:; PCA:; principal component analysis; Reserve Naturelle d'Itombwe/Natural Reserve of Itombwe; RN Itombwe; RNI:; subtropical highland climate; temperate oceanic climate; Tropical rainforest climate; tropical wet and dry or savanna climate","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85111246261"
