"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Mauad M.; Siri A.; Donato M.","Mauad, M. (16039749000); Siri, A. (25028994200); Donato, M. (14019554400)","16039749000; 25028994200; 14019554400","Does Type of Substratum Affects Chironomid Larvae Assemblage Composition? A Study in a River Catchment in Northern Patagonia, Argentina","2017","Neotropical Entomology","46","1","","18","28","10","7","10.1007/s13744-016-0429-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010015226&doi=10.1007%2fs13744-016-0429-3&partnerID=40&md5=3bb23bdc2b90c1918f79569228a74e27","Chironomid larvae assemblages were investigated at seven sampling stations in relation to stream habitat type in the Challhuaco-Ñireco river system located in the Nahuel Huapi National Park, in the North-Western part of Rio Negro Province, Argentina. A total of 2229 individuals were sampled and 43 Chironomidae taxa were recorded with Orthocladiinae (29) being the best represented subfamily, followed by Diamesinae (5), Tanypodinae (3), Podonominae (3) and Chironominae (3). Stictocladius spF, Cricotopus (Paratrichocladius) sp6, Cricotopus sp2, Cricotopus sp3 and Parapsectrocladius sp2 were the most abundant taxa. Sites near the source of the river system were dominated by Podonomus sp., Limnophyes sp., Parapsectrocladius sp. and Stictocladius spF, whereas sites close to the river mouth were dominated by Diamesinae sp5 and Cricotopus sp. Rank/abundance plots show that all the analysed sites displayed dominance of some species. Stictocladius spF, Cricotopus sp2, Cricotopus sp3, Cricotopus (Paratrichocladius) sp6, Parapsectrocladius sp. and Limnophyes sp. resulted as dominant species, or being part of a group of dominant species, at least in one sample. Eleven taxa were associated with habitats related with riffle areas and stable substrates with filamentous algae. Species–environment relationships were examined using ordination analysis. Elevation was the most significant environmental variable that explained 22% of the total variability of the chironomid assemblages, showing stronger relationships among sites within an altitudinal gradient than among habitat type. Abundance of chironomids increased from headwaters to the outflow in Nahuel Huapi Lake responding to an altitude gradient as well as some environmental factors such as coarse matter and nutrient concentrations. © 2016, Sociedade Entomológica do Brasil.","altitudinal zonation; Chironomidae; habitat preference; South America","Animals; Argentina; Biodiversity; Chironomidae; Ecosystem; Larva; Population Dynamics; Rivers; animal; Argentina; biodiversity; Chironomidae; ecosystem; larva; population dynamics; river","Article","Final","","Scopus","2-s2.0-85010015226"
"Dassir M.; Paembonan S.A.; Arsyad U.; Sadapotto A.; Nadira S.","Dassir, M. (57202443005); Paembonan, S.A. (6504161982); Arsyad, U. (57209641105); Sadapotto, A. (57209643022); Nadira, S. (57211807432)","57202443005; 6504161982; 57209641105; 57209643022; 57211807432","Smallholder livelihood adaptation capacity to the risk of climate change disasters in the buffer area of Bantimurung Bulusaraung National Park (TN BABUL) South Sulawesi","2021","IOP Conference Series: Earth and Environmental Science","807","3","032054","","","","0","10.1088/1755-1315/807/3/032054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111965265&doi=10.1088%2f1755-1315%2f807%2f3%2f032054&partnerID=40&md5=552aa3756c4c936eb41a0b955628ae18","The number of smallholders' farmer around the forest areas in Indonesia are about fifteen million households, and facing the risk of climate change disaster in their activities on the various national park area in Indonesia. This paper discussed about the role of management decentralization of National Park Zonation toward enhancement livelihood adaptation strategy of smallholder farmers, facing the risk of climate change disaster using spatial analysis (GIS) and content analysis. The result describing proprietor's devolution at the resort level in the management of special zone and traditional zone that is a basic strategy to provide access to smallholders manages the land to develop agroforestry patterns that are resistant to climate variability. While in the jungle zone and utilization zone, devolution is only authorized user rights until the claimant right to collect non-timber forest products grown naturally to ensure resource sustainability. Pseudo de-concentration by the SPTN is required to monitor and ensure proprietors devolution rights, authorized user right, or claimant right in the management of traditional zone, special zone, jungle zone, and utilization zone between resort institution, the village head, and smallholders' farmers. The implementation of devolution that produces anonymous adaptation supported by planned adaptation from village institutions and government can enhancement the adaptation capacity of smallholder farmers in managing rice fields and their PLKCS land or in conservation forest areas with the availability of irrigation water sources. © Published under licence by IOP Publishing Ltd.","","Disasters; Facings; Food supply; Forestry; Integrated circuits; Irrigation; Risk assessment; Rural areas; Adaptation strategies; Climate variability; Content analysis; Irrigation waters; Non-timber forest products; Resource sustainability; Smallholder farmers; Smallholder livelihood; Climate change","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85111965265"
"Apichanangkool P.; Prathep A.","Apichanangkool, Pemika (56436797200); Prathep, Anchana (23390580400)","56436797200; 23390580400","Changes in seagrass leaf reddening and morphology in response to emersion","2014","Botanica Marina","57","6","","433","440","7","9","10.1515/bot-2014-0004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84914180158&doi=10.1515%2fbot-2014-0004&partnerID=40&md5=a5b53a9ae774cd7811ed832e89a6918b","Intertidal seagrasses often cope with a complex combination of stresses during low tide, especially light, temperature, and desiccation, which influence seagrass survival mechanisms, consequently forming zonation patterns along the shore. To investigate whether seagrass pigment and leaf morphological characteristics change in response to emersion, we sampled three intertidal seagrass species (Halophila ovalis, Cymodocea rotundata, and Thalassia hemprichii) in Laem Yong Lam, Haad Chao Mai National Park, Trang, Thailand. Using transplantation methods across the upper and lower intertidal zones, where emersion times differ, we found that these three seagrass species have different adaptive strategies to grow under stresses in the intertidal zone. All three seagrass species responded to decreasing emersion times by decreasing leaf length and width. The leaf sheath of C. rotundata increased in length with decreasing emersion times. Our research provides a characterization of different seagrass strategies, which involve differential changes in leaf pigmentation and morphological adjustments to survive under stresses during emersion in the intertidal zone. © 2014 by De Gruyter.","anthocyanin; emersion; leaf reddening; morphology; seagrass","Southern Region; Thailand; Trang; adaptation; intertidal environment; leaf morphology; physiological response; pigment; seagrass; temperature effect","Article","Final","","Scopus","2-s2.0-84914180158"
"Janík T.; Romportl D.","Janík, Tomáš (57194518173); Romportl, Dušan (57197753577)","57194518173; 57197753577","PRIORITIZATION OF NATURE CONSERVATION AND ANTHROPOGENIC ACTIVITIES: CASE OF ŠUMAVA NP","2022","Public Recreation and Landscape Protection - With Environment Hand in Hand… Proceedings of the 13th Conference","","","","248","251","3","0","10.11118/978-80-7509-831-3-0248","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131221231&doi=10.11118%2f978-80-7509-831-3-0248&partnerID=40&md5=0da029d2351d0c6dcba47ca7dbdbc21e","Sustainable development deals with environmental, societal and economic pillar. Regarding the spatial nature conservation within Central Europe, the environmental pillar has been threatened. Long lasting human pressure on landscape has created cultural landscape with only small fragments of close-to-nature habitats. Šumava National Park plays exceptional role, it is one of the largest protected and forested areas in the region. However, Šumava National Park administration has gone through various periods with different outcomes for its protection. Therefore, we applied prioritization concept to evaluate management of National Park and its zonation. We based it on objective data and statistical approaches. Our results were compared with data of anthropogenic structures and activities as built-up, recreational and developable areas. Somewhere, as we show in the article, problems between conservation priorities and human use of the area arises. By these analyses we stress the problem of sustainability in the most valuable protected natural areas of Central Europe, where also societal and economic interests are eminent. © 2022 Public Recreation and Landscape Protection - With Environment Hand in Hand? Proceedings of the 13th Conference. All rights reserved.","Anthropogenic structures; Management; Zonation; Šumava National Park","Environmental protection; Regional planning; Sustainable development; Anthropogenic activity; Anthropogenic structure; Anthropogenics; Central Europe; Conservation activities; Long lasting; National parks; Prioritization; Zonation; Šumava national park; Conservation","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85131221231"
"Delsink A.; Vanak A.T.; Ferreira S.; Slotow R.","Delsink, Audrey (6507843575); Vanak, Abi T. (19337914500); Ferreira, Sam (7202480417); Slotow, Rob (7004596566)","6507843575; 19337914500; 7202480417; 7004596566","Biologically relevant scales in large mammal management policies","2013","Biological Conservation","167","","","116","126","10","14","10.1016/j.biocon.2013.07.035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882932368&doi=10.1016%2fj.biocon.2013.07.035&partnerID=40&md5=af324d5c284cc7da218aaa34e84c26c8","The African elephant is an important keystone species that may have significant effects on ecosystem structure and eco-tourism revenues. In Kruger National Park (KNP), South Africa, where elephant populations have been increasing, management have adopted a zonation approach, with zones identified for specific and measurable management interventions to control elephant populations, or to reduce conflict with humans. Localised culling is one proposed management intervention. The zones, partly derived from static annual elephant distribution surveys, are intended to encompass only localised effects on elephant within that zone, assuming no effect into adjacent undisturbed zones, or into contiguous neighbouring landholdings outside KNP. We deployed 17 GPS/GSM collars on free-roaming elephant herds within KNP to assess their seasonal home-range use and size and daily movement paths. These temporally robust movement metrics were analyzed against the Park's elephant management zones, partly derived from sporadic telemetry fixes and static distribution counts. Multiple daily and seasonal spatial shifts by elephant across neighbouring zones, including into adjacent reserves, rendered the principle of exclusive zoning at this management scale incorrect. The KNP management zones and proposed management actions are not biologically relevant to elephant, or appropriate for managing the ecological or human-wildlife impact of elephant, resulting in spatial and temporal scale mismatches. We predict that the intended management actions, specifically culling, and its resultant intended consequences (immigration, reduced vegetation impact and reduced growth due to disturbance) is not localised to the target zone, and, because it is season specific, is at risk of targeting transient non-resident elephant whilst missing resident elephant that have crossed into other zones. This scale mismatch may have a ripple effect outside the target zone, causing serious ecological risks, especially given the documented long-term negative effects of management disturbance on elephant. We further quantify this scale mismatch into four categories based on percentages of the following factors: the proportion of sampled population affected, the seasonal zone occupancy (the proportion of locations per zone per season) and number of zone crossings, and the governance of management units (consistency of management interventions imposed across zones). This generates a prediction of the risk of this exclusive zoning and its consequences. We suggest a new approach, whereby, known elephant intensity of use at local scales is adaptively managed for specific management objectives. However, management must occur within a known and contained zone of influence defined by elephant behaviour derived from resident movement studies, as opposed to broad scale zonation at the population or park level. © 2013 Elsevier Ltd.","Elephant; Kruger National Park; Management effects; Ranging behaviour; Scale mismatch","Kruger National Park; South Africa; ecosystem structure; ecotourism; elephant; governance approach; GPS; growth response; keystone species; management practice; policy making; population structure; species conservation; temporal analysis","Article","Final","","Scopus","2-s2.0-84882932368"
"Fojcik B.; Chmura D.","Fojcik, Barbara (6506074193); Chmura, Damian (57214684422)","6506074193; 57214684422","Vertical distribution of epiphytic bryophytes depends on phorophyte type; a case study from windthrows in kampinoski national park (Central Poland)","2020","Folia Cryptogamica Estonica","57","","","59","71","12","2","10.12697/fce.2020.57.08","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092694713&doi=10.12697%2ffce.2020.57.08&partnerID=40&md5=bec70bc3da1ff05b52299fc814bf5c25","The vertical distribution of epiphytic bryophytes in European forests are still relatively poorly understood. The aim of the study was to analyse the diversity and vertical zonation of epiphytic mosses and liverworts on selected tree types (Quercus petraea, Betula pendula and Pinus sylvestris) within windthrow areas in the Kampinoski National Park (Central Poland). The investigations were performed in five parts of the trees: the tree base, lower trunk, upper trunk, lower crown, and upper crown. Deciduous trees have more species than pine trees (13 on Quercus and Betula, 8 on Pinus). The type of phorophyte was crucial for the differences in the species composition from the tree base to the upper crown that was observed. The highest richness of bryophytes was recorded on the tree bases, while the lowest was recorded in the upper parts of the crowns. The variability of the habitat conditions in the vertical gradient on the trunk that affected the patterns of the occurrence of species with different ecological preferences was determined using the Ellenberg indicator values. An increase in the value of the light and acidity indicators from the base of the trunk upwards and decreasing tendency in the case of moisture indicator was noted. © 2020, University of Tartu Press. All rights reserved.","Ellenberg indicator values; Heigh zones; Liverworts; Mosses; Phorophyte; Vertical gradient","","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85092694713"
"Kalajnxhiu A.; Tsiripidis I.; Bergmeier E.","Kalajnxhiu, A. (55489169400); Tsiripidis, I. (8332243500); Bergmeier, E. (6603630265)","55489169400; 8332243500; 6603630265","The diversity of woodland vegetation in Central Albania along an altitudinal gradient of 1300 m","2012","Plant Biosystems","146","4","","954","969","15","14","10.1080/11263504.2011.634446","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869464646&doi=10.1080%2f11263504.2011.634446&partnerID=40&md5=cc2fd6fc38dcdcec9d08fdc16231d5dd","The woodland vegetation of Central Albania is studied and discussed along an altitudinal gradient in the Dajti National Park (DNP). The plant species combinations recorded in 168 plots were classified and subjected to indirect gradient analysis using environmental variables of geology, soil, topography, disturbance and grazing impact. The transect over more than 1300 m reflects the biogeographically intermediate paramediterranean vegetation zonation and the relatively humid Mediterranean ""hygric series"" at its eastern margins. It reveals the total range of woodland types known to occur in Central Albania, thus stressing the representativity of the area regarding biodiversity and biogeography, and its importance for nature conservation. Along the elevation gradient, we found three plant communities of the mesomediterranean Quercetalia ilicis, five of the supramediterranean Quercetalia pubescentis and five of the montane or oromediterranean Fagetalia sylvaticae. © 2012 Copyright Taylor and Francis Group, LLC.","Balkan; biogeography; Fagus forests; nature conservation; phytosociology; Quercus forests; vegetation classification; wood-pasture","Fagus; Quercus","Article","Final","","Scopus","2-s2.0-84869464646"
"Castillo M.A.; Tavera J.","Castillo, María Alejandra (57989603000); Tavera, Jose (9640304800)","57989603000; 9640304800","Disruptive coloration and behavior facilitate camouflage of blue-spotted cornetfish against complex coral reef bottoms","2022","Marine Ecology","43","6","e12731","","","","0","10.1111/maec.12731","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143157840&doi=10.1111%2fmaec.12731&partnerID=40&md5=d14224fff9f4ac94eebffb895c2ce3b7","Avoiding recognition involves the use of extraordinary strategies, among which camouflage is the most common. Crypsis, a usual form of camouflage, involves, among many other strategies, disruptive coloration that uses marks that disguise the contours of creatures to hide it. Fish that live on coral reefs have developed several cryptic strategies to avoid the risk of detection. The blue-spotted cornetfish, Fistularia commersonii, presents a pattern of dark bands that give the perception of disruptive coloration; however, this strategy has not been characterized for this fish. This study was conducted on the eastern coral reefs of Gorgona Island National Natural Park (Colombia). To confirm whether F. commersonii presents a disruptive pattern, photographs, and videos in situ of the individuals were taken, in addition to recording aspects of their behavior during changes in coloration. After strict selection, different images were processed and evaluated using three different visual systems (potential predator, potential prey, and human) to calculate the GabRat metric, that is detect consistent to inconsistent edges of a pattern. The images analysed and the observations indicate that this species displays a disruptive pattern that is used more frequently in the reef flat and during alert states, either in the presence of a possible predator or during the search for food. © 2022 Wiley-VCH GmbH.","alertness; detectability; disruptive pattern; GabRat; reef zonation; Syngnathiformes","Colombia; Gorgona Island; Gorgona National Park; Valle del Cauca; color morph; coral reef; crypsis; fish; marine ecosystem","Article","Final","","Scopus","2-s2.0-85143157840"
"Chai S.-L.; Tanner E.","Chai, Shauna-Lee (26649716300); Tanner, Edmund (7007134599)","26649716300; 7007134599","Are we losing the best parts of our protected areas in tropical mountains?","2010","Biotropica","42","6","","739","747","8","4","10.1111/j.1744-7429.2010.00634.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78149246059&doi=10.1111%2fj.1744-7429.2010.00634.x&partnerID=40&md5=04551a86db024a338224b16796fb8d83","Protected areas (PAs) on tropical mountains undergo greater forest destruction in their lower altitudes. We compared the extent of forested, nonforested, and fragmented areas between lowland (<1000 masl) and montane zones of the Blue Mountains inside the Blue and John Crow Mountains National Park established in Jamaica in 1993. We found that in 2008, inside the montane zone, only 4 percent of forest was cleared, and forest fragmentation was minimal. In the lowland zone, however, the percentage of forest cleared was seven times as high, and the density of fragments was 11-fold higher. We established twenty-five 0.04ha lowland plots; ordination of tree species composition in these plots reflected a rainfall gradient, showing that plots on the wetter northern side of the Blue Mountains were floristically different from those on the drier southern side. The conservation value of the remaining lowland forest is high because of its high endemism (18% of species in our plots) and beta diversity. In addition, IUCN Red List data show that about 71 percent of threatened tree species in the Blue Mountains grow in the lowland region, 92 percent of which are endemic. From these findings, we identify a 'protected area hotspot zone', which lies between the PA boundary and the core high-altitude zone, and which should be instituted in IUCN categories I and II PAs. © 2010 The Author(s). Journal compilation © 2010 by The Association for Tropical Biology and Conservation.","Endemism; Hotspot; Jamaica; Lowland forest; National park; Zonation","Blue Mountains [Jamaica]; Jamaica; altitude; clearcutting; community composition; comparative study; conservation management; endemism; fragmentation; lowland environment; montane forest; national park; rainfall; Red List; tropical environment; zonation","Article","Final","","Scopus","2-s2.0-78149246059"
"Kumar M.; Chauhan H.B.; Rajawat A.S.; Ajai","Kumar, Mohit (58106832400); Chauhan, H.B. (7006361547); Rajawat, A.S. (6507471483); Ajai (24292733600)","58106832400; 7006361547; 6507471483; 24292733600","Study of mangrove communities in Marine National Park and Sanctuary, Jamnagar, Gujarat, India, by fusing RISAT-1 SAR and Resourcesat-2 LISS-IV images","2017","International Journal of Image and Data Fusion","8","1","","73","91","18","5","10.1080/19479832.2016.1232755","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988566240&doi=10.1080%2f19479832.2016.1232755&partnerID=40&md5=ec64b2654188f561903b5a7f23311bc1","In this study, RISAT-1 (Radar Imaging Satellite-1) HH image has been fused with Resourcesat 2 LISS-IV (Linear Imaging Self Scanning-IV) image to study the mangrove communities of Jindra-Chhad island complex, in Marine National Park and Sanctuary (MNP&S), Jamnagar, Gujarat, India. Three different methods were used to fuse RISAT-1 and LISS-IV images. In one case, the Synthetic Aperture Radar (SAR) data was simply integrated as an additional band to the three bands of LISS-IV data, whereas in the other, Intensity-Hue-Saturation method was used to merge the two data sets. In yet another exercise, the vegetative and sedimentary parts were separated from the optical data by computing normalised difference vegetation index (NDVI) and by averaging the Red and Green bands, respectively. These two layers, viz., NDVI and the average of Red and Green bands, were then integrated with the SAR data. All the merged products were put to supervised classification using maximum likelihood algorithm into following seven classes: mangrove communities (Avicennia Dense, Avicennia Sparse, Rhizophora-Ceriops Dense), Intertidal Mudflat, Hightidal Mudflat, Sand and Sea. The class separability analysis indicated that the separability obtained among the classes in the case of fused products was higher than that obtained when both the data sets were classified individually. © 2016 Informa UK Limited, trading as Taylor & Francis Group.","class separability analysis; community zonation; image fusion; Mangroves; Marine National Park & Sanctuary","Gujarat; India; Jamnagar; Green computing; Image fusion; Marine radar; Maximum likelihood; Radar; Synthetic aperture radar; Vegetation; Class separability; community zonation; Intensity hue saturations; Mangroves; Maximum likelihood algorithm; National parks; Normalised difference vegetation index; Supervised classification; algorithm; community structure; image processing; LISS; mangrove; maximum likelihood analysis; NDVI; Resourcesat; supervised classification; synthetic aperture radar; Radar imaging","Article","Final","","Scopus","2-s2.0-84988566240"
