"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Carter N.H.; Levin S.A.; Grimm V.","Carter, Neil H. (36023211300); Levin, Simon A. (26643470900); Grimm, Volker (7006008102)","36023211300; 26643470900; 7006008102","Effects of human-induced prey depletion on large carnivores in protected areas: Lessons from modeling tiger populations in stylized spatial scenarios","2019","Ecology and Evolution","9","19","","11298","11313","15","10","10.1002/ece3.5632","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071908452&doi=10.1002%2fece3.5632&partnerID=40&md5=83a792ddd69a4ece94e20efd24cc2257","Prey depletion is a major threat to the conservation of large carnivore species globally. However, at the policy-relevant scale of protected areas, we know little about how the spatial distribution of prey depletion affects carnivore space use and population persistence. We developed a spatially explicit, agent-based model to investigate the effects of different human-induced prey depletion experiments on the globally endangered tiger (Panthera tigris) in isolated protected areas—a situation that prevails throughout the tiger's range. Specifically, we generated 120 experiments that varied the spatial extent and intensity of prey depletion across a stylized (circle) landscape (1,000 km2) and Nepal's Chitwan National Park (~1,239 km2). Experiments that created more spatially homogenous prey distributions (i.e., less prey removed per cell but over larger areas) resulted in larger tiger territories and smaller population sizes over time. Counterintuitively, we found that depleting prey along the edge of Chitwan National Park, while decreasing tiger numbers overall, also decreased female competition for those areas, leading to lower rates of female starvation. Overall our results suggest that subtle differences in the spatial distributions of prey densities created by various human activities, such as natural resource-use patterns, urban growth and infrastructure development, or conservation spatial zoning might have unintended, detrimental effects on carnivore populations. Our model is a useful planning tool as it incorporates information on animal behavioral ecology, resource spatial distribution, and the drivers of change to those resources, such as human activities. © 2019 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.","agent-based model; carnivore; conservation; prey depletion; protected areas; spatial heterogeneity; territoriality","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85071908452"
"Liu Y.","Liu, Yang (57491801800)","57491801800","Study on the zoning of Northeast China Tiger and Leopard National Park","2022","International Journal of Geoheritage and Parks","10","1","","113","123","10","2","10.1016/j.ijgeop.2022.03.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126531080&doi=10.1016%2fj.ijgeop.2022.03.002&partnerID=40&md5=30ee595bc738eb2c0b0bef3b6570960b","The Amur tiger and Amur leopard are the flagship species for biodiversity protection, since the eighteenth congress, the Central Committee of the Communist Party and State Council of China attaches great importance to the tiger and leopard conservation. The 12th Meeting of the Central Finance and Economics Leading Group proposed to integrate the main habitat of giant pandas, establish the Northeast China Tiger and Leopard National Park and solve cross-regional and cross-sectoral institutional problems. The Northeast China Tiger and Leopard National Park is an important environment where big cats and humans live together. The management and zoning of the park should fully consider not only the habitat environment for tigers and leopards, but also the habitat environment and safety for human beings. Based on the overall consideration of sensitivity, endangerment and distribution characteristics of protected objects, migration and reproduction characteristics of tigers and leopards and other big cats, production and living utilization status of residents and social development needs, Northeast China Tiger and Leopard National Park proposed to adopt the Zoning-based Management and Control Mode for the first time. Through the factor extraction and analysis of the resources, environment, economic and social background in the region, the park uses GIS technology to extract and analyze the factors. It has been found that, according to the three principles of ecosystem, integrity, authenticity and coordination of protection and development, the park mainly aims to implement differential control over human activities, and the protection mechanism divides the control zones. The Zoning-based Management and Control Mode. The Zoning control enables the park to properly handle the relationship between the protection of the habitat of Amur tigers and Amur leopards and the maintenance of border security and stability, the production and life of indigenous residents. It also can make the park realize the harmonious coexistence and common development between man and nature. © 2022","Amur leopard; Amur tiger; National park; Range; Zoning","China; biodiversity; canid; habitat management; park management; rangeland; species conservation; zoning policy","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85126531080"
"Wei D.; Feng A.; Huang J.","Wei, Dongying (55496108700); Feng, Aixia (57222060895); Huang, Jingyi (57222072167)","55496108700; 57222060895; 57222072167","Analysis of ecological protection effect based on functional zoning and spatial management and control","2020","International Journal of Geoheritage and Parks","8","3","","166","172","6","10","10.1016/j.ijgeop.2020.06.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097309457&doi=10.1016%2fj.ijgeop.2020.06.003&partnerID=40&md5=0f76aab1a7e3675b686b7c63139e0999","The establishment of a national park system is a key reform task proposed by the Third Plenary Session of the 18th Central Committee of the Communist Party of China. To achieve the target of ecological protection, functional zoning and space management are important to planning of national parks. Selecting the Three-River-Source National Park (TNP) as the study area, this paper explains the measures of functional zoning and space management, and analyzes the effect of ecological protection from the perspective of ecological restoration and biodiversity based on the actual monitoring data of the ecosystem, hoping to provide new insights into national parks' functional zoning and management measures. © 2020 Elsevier B.V.","Ecological protection; Functional zoning; National parks; Space management; Three-River-source","China; biodiversity; environmental protection; environmental restoration; national park; reform process; spatial analysis","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85097309457"
"Wang Y.; Yang H.; Qi D.; Songer M.; Bai W.; Zhou C.; Zhang J.; Huang Q.","Wang, Yujun (57215441168); Yang, Hongbo (56888146800); Qi, Dunwu (22935311400); Songer, Melissa (6603178927); Bai, Wenke (57197718952); Zhou, Caiquan (8282110900); Zhang, Jindong (12041725600); Huang, Qiongyu (55467519200)","57215441168; 56888146800; 22935311400; 6603178927; 57197718952; 8282110900; 12041725600; 55467519200","Efficacy and management challenges of the zoning designations of China's national parks","2021","Biological Conservation","254","","108962","","","","15","10.1016/j.biocon.2021.108962","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099612828&doi=10.1016%2fj.biocon.2021.108962&partnerID=40&md5=2feeff171977604836a1a5cd3a86e4e3","China is transforming its management of protected areas by establishing a national park system. To balance the needs of conservation and development, the national parks will adopt a zoning designation to delimit land in the parks for different purposes. These include a core zone that covers critical areas for conservation and allows few human uses, and a control zone that permits a wider range of development activities. However, the efficacy and management challenges of this zoning scheme are largely unknown. Using the Giant Panda National Park (GPNP) in Sichuan Province as an example, we evaluated the efficacy of the park's zoning designations by assessing the spatial distribution of critical habitat areas for panda conservation and human disturbance across different zones. Our results show that the core zone of the GPNP performs well in covering the majority of panda habitat (80%), highly suitable habitat (81%), and habitat patches that can support a viable panda population (80%). There is still space for improvement, however, because a significant portion (39%) of the potential corridors that require strict protections fall outside the core zone. Human disturbances are prevalent in the core zone of the park, representing a major challenge to achieving the management goal of eliminating human disturbances in the core zone. Our analyses and methods provide crucial information and tools to inform the design and management of the zoning designations of the GPNP and other PAs in China and beyond. © 2021 Elsevier Ltd","Giant Panda National Park; Habitat connectivity; Habitat suitability; Human disturbances; Protected areas; Zoning designations","Ailuropoda melanoleuca; Trachinotus falcatus","Article","Final","","Scopus","2-s2.0-85099612828"
"Siyuan H.; Yang S.; Qingwen M.","Siyuan, He (14421652800); Yang, Su (57207953269); Qingwen, Min (39861872900)","14421652800; 57207953269; 39861872900","Boundary, zoning, and land use management of the China national parks: Learning from nature reserves and scenic areas","2019","Shengtai Xuebao","39","4","","1318","1329","11","7","10.5846/stxb201808271829","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063349942&doi=10.5846%2fstxb201808271829&partnerID=40&md5=d6c6aa8226b22e2037ca84bb851f45b8","Establishment of the China National Park system aims to re-organise the diversified management systems of protected areas to realize efficient and proper terrestrial land planning, natural capital conservation, and public welfare. This study reviews the development of theories and techniques of the nature reserves and scenic areas and summarizes progress of national park pilots, and proposed the general rules of boundary delineation and zoning of national parks. National park planning should aim to achieve conservation goals, leam from nature reserve zoning and itemize management objectives for sub-zoning, and learn from scenic area planning to take a landscapce value into consideration and balance socio-economic conditions, especially land tenure. It then should consider climate change and regional development goals in the long term to finalize the theoretical system. In the formation of the theory, realizing different ecosystem service bundles could be the target of spatial control. Under certain land tenure systems, ecological protection and community livelihood development could be balanced by implementing conservation easements to separate land ownership, use rights, and benefit rights to restrain community land use in certain areas with compensation. © 2019 Science Press. All Rights Reserved.","Boundary; Conservation easement; Ecosystem; National park; Nature reserve; Scenic area; Zoning","China; climate change; conservation status; ecosystem management; ecosystem service; environmental protection; land tenure; land use change; national park; natural capital; nature reserve; park management; regional development","Article","Final","","Scopus","2-s2.0-85063349942"
"Jumin R.; Binson A.; McGowan J.; Magupin S.; Beger M.; Brown C.J.; Possingham H.P.; Klein C.","Jumin, Robecca (55874465900); Binson, Augustine (56034621000); McGowan, Jennifer (56770731900); Magupin, Sikula (56034946600); Beger, Maria (8530143500); Brown, Christopher J. (7408310730); Possingham, Hugh P. (7006846637); Klein, Carissa (24587791200)","55874465900; 56034621000; 56770731900; 56034946600; 8530143500; 7408310730; 7006846637; 24587791200","From Marxan to management: Ocean zoning with stakeholders for Tun Mustapha Park in Sabah, Malaysia","2018","ORYX","52","4","","775","786","11","24","10.1017/S0030605316001514","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018423565&doi=10.1017%2fS0030605316001514&partnerID=40&md5=5e2cdd766e004dbae68177a51796b5d8","Tun Mustapha Park, in Sabah, Malaysia, was gazetted in May 2016 and is the first multiple-use park in Malaysia where conservation, sustainable resource use and development co-occur within one management framework. We applied a systematic conservation planning tool, Marxan with Zones, and stakeholder consultation to design and revise the draft zoning plan. This process was facilitated by Sabah Parks, a government agency, and WWF-Malaysia, under the guidance of the Tun Mustapha Park steering committee and with support from the University of Queensland. Four conservation and fishing zones, including no-take areas, were developed, each with representation and replication targets for key marine habitats, and a range of socio-economic and community objectives. Here we report on how decision-support tools informed the reserve design process in three planning stages: prioritization, government review, and community consultation. Using marine habitat and species representation as a reporting metric, we describe how the zoning plan changed at each stage of the design process. We found that the changes made to the zoning plan by the government and stakeholders resulted in plans that compromised the achievement of conservation targets because no-take areas were moved away from villages and the coastline, where unique habitats are located. The design process highlights a number of lessons learned for future conservation zoning, which we believe will be useful as many other places embark on similar zoning processes on land and in the sea. Copyright © Fauna & Flora International 2017.","Biodiversity; Coral Triangle Initiative; marine protected area; Marxan; representation; sustainable resource use; systematic conservation planning; zoning","Australia; East Malaysia; Malaysia; Queensland; Sabah; Anthozoa; biodiversity; conservation management; conservation planning; habitat type; management practice; marine environment; marine park; national park; reserve design; resource use; stakeholder; sustainability","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85018423565"
"Sokratov S.A.; Suchilin A.A.; Shnyparkov A.L.; Ushakova L.A.; Voskresensky I.S.; Belaya N.I.","Sokratov, Sergey A. (6603609934); Suchilin, Aleksandr A. (57212411201); Shnyparkov, Aleksandr L. (6505951635); Ushakova, Lyudmila A. (58001756600); Voskresensky, Ivan S. (6602912493); Belaya, Nadezhda I. (58001329500)","6603609934; 57212411201; 6505951635; 58001756600; 6602912493; 58001329500","APPLICATION OF UNMANNED AERIAL VEHICLES FOR GEOMORPHOLOGICAL MAPPING OF LANDSLIDE SLOPES OF THE AIBGA RIDGE (WESTERN CAUCASUS); [ПРИМЕНЕНИЕ БЕСПИЛОТНЫХ ЛЕТАТЕЛЬНЫХ АППАРАТОВ ДЛЯ ГЕОМОРФОЛОГИЧЕСКОГО КАРТОГРАФИРОВАНИЯ ОПОЛЗНЕВЫХ СКЛОНОВ ХРЕБТА АИБГА (ЗАПАДНЫЙ КАВКАЗ)]","2022","InterCarto, InterGIS","28","","","480","495","15","0","10.35595/2414-9179-2022-1-28-480-495","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143800756&doi=10.35595%2f2414-9179-2022-1-28-480-495&partnerID=40&md5=e4cc162915959710d80fa19aaa967017","Aerial sounding of the study area of the northern slope of the Aibga Ridge was carried out using unmanned aerial vehicles (UAVs) for geomorphological large-scale geoinformation mapping of landslide slopes. The site of work was chosen on the basis of the previously carried out ecological and geomorphological zoning of the slopes of the Aibga Ridge (Sochi National Park) and represents the slopes of the Chernaya Piramida mountain covered with forest and alpine meadows. A fragment of the ridge slope in the area of an ancient stabilized seismogenic gravitational landslide was studied. The morphology of the relief was partially changed during the construction of sports facilities – ski slopes and cable cars. The creation of clearings in forests, a partial change in the morphology of the natural relief and surface runoff conditions led to local activation of landslide processes, including on ski slopes and other infrastructure facilities. The newly formed landslide slopes are confined to the junction of natural and man-made relief forms: the ski slopes and the slopes of the hollows of temporary watercourses. As a result of field work using the global navigation satellite system (GNSS), a local reference geodetic network of centimeter accuracy was formed – a planned-altitude substantiation (PVO), which served as a geodetic basis for processing sounding materials and subsequent geoinformation mapping. Aerial sounding was carried out using the DJI Mavic 2 Pro and DJI Mini UAVs, more than 1,000 digital images of the study area in nadir and prospective have been accumulated. In addition, in order to identify the relief forms of the underlying surface on separate fragments of the study area, covered with dense broad-leaved forest (beech, hornbeam), a tacheometric survey was carried out. Field research materials served as the basis for geomorphological mapping of the landslide slopes of the Aibga Ridge and the creation of the corresponding thematic layers in the GIS software environment. © 2022 Lomonosov Moscow State University. All rights reserved.","geomorphological mapping; GIS; GNSS; mountain landslide slope; UAV","","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85143800756"
"Mikusiński G.; Niedziałkowski K.","Mikusiński, Grzegorz (6603552760); Niedziałkowski, Krzysztof (55214980900)","6603552760; 55214980900","Perceived importance of ecosystem services in the Białowieża Forest for local communities – Does proximity matter?","2020","Land Use Policy","97","","104667","","","","13","10.1016/j.landusepol.2020.104667","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086025672&doi=10.1016%2fj.landusepol.2020.104667&partnerID=40&md5=397b63e9596cdd403d8481624e6a6e83","Effective protection of biodiversity in areas of high conservation value requires trade-offs between local use of natural resources and conservation restrictions. The compromise is often difficult to reach, which causes conflicts over the management priorities of existing and potential protected areas. Ecosystem services (ES) perspective offers a promising avenue for diagnosing and reconciling contrasting interests concerning the use of benefits from ecosystems. We examined how the spatial proximity to the Białowieża Forest (BF), a European biodiversity hotspot, affects the perceived use of ES by local communities. We performed a survey among 719 respondents from 35 villages situated within BF and in its vicinity. We found that both the declared use of ES and the perceived influence of ES on household's economy was declining with the distance from BF with particularly high differences between areas not further than 3 km from BF and areas located 3-15 km from BF. Different zones varied in terms of benefits from tourism and costs connected with a potential limited access to ES due to conservation. Broadening the perspective, we argue that the trade-offs linked to ES may vary depending on the location in relation to the protected area and that local communities should not be treated as a homogenous group when considering benefits from the forest. Awareness of common patterns of ES use over space and local specificity may enhance effective management of even highly contested conservation areas. © 2020 The Authors","Biodiversity conservation; Conservation; Ecosystem services; Local resource use; Management; National park; Natura 2000; Perceptions; Planning; Protected areas; Spatial analysis; Tourism; Zoning","biodiversity; ecosystem service; environmental protection; forest management; nature conservation; protected area","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85086025672"
"Qiao B.; Cao X.; Sun W.; Gao Y.; Chen Q.; Yu H.; Wang Z.; Wang N.; Cheng H.; Wang Y.; Li F.; Zhou B.","Qiao, Bin (57214231906); Cao, Xiaoyun (57214223309); Sun, Weijie (58040947000); Gao, Yayue (58179048500); Chen, Qi (57717667400); Yu, Hongyan (58179014500); Wang, Zhe (57207119579); Wang, Nai′ang (57911181800); Cheng, Hongyi (58179014600); Wang, Yipeng (57204333768); Li, Fu (58138933900); Zhou, Bingrong (56282978100)","57214231906; 57214223309; 58040947000; 58179048500; 57717667400; 58179014500; 57207119579; 57911181800; 58179014600; 57204333768; 58138933900; 56282978100","Ecological zoning identification and optimization strategies based on ecosystem service value and landscape ecological risk: Taking Qinghai area of Qilian Mountain National Park as an example; [基于生态系统服务 价 值 和 景 观 生 态 风 险 的 生 态 分 区 识别与优化策略———以祁连山国家公园青海片区为例]","2023","Shengtai Xuebao","43","3","","986","1004","18","0","10.5846/stxb202112263653","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152212060&doi=10.5846%2fstxb202112263653&partnerID=40&md5=d6babf8f9b6931bb850ccca53500a0b8","Identification of spatial zoning of ecological functions is a prerequisite and fundamental work to support the management of ecological assets in nature reserves. In this study, the spatial and temporal evolution characteristics of land use/cover types, ecosystem service values and landscape ecological risks in the Qilian Mountains National Park Qinghai Area from 1998 to 2018 were analyzed by applying remote sensing, geographic information modeling, landscape ecology and GIS grid methods, and four types of ecological zoning were constructed by Z-score standardization. The results show that: (1) Grassland in Qinghai area of Qilian Mountain National Park was above 55.00%, and the total area transferred between land use types in Qinghai area of Qilian Mountain National Park during 30 years (1998—2018) was 102.49 km2, among which the largest area of medium-coverage grassland was transferred out, which was 34. 83 km2, and the largest area of artificial grassland was transferred in, which was 24.61 km2. (2) The ecosystem service value (ESV) of the Qinghai area of Qilian Mountains National Park in three periods (1998, 2008, 2018) was about 27.4 billion yuan/year, and the ecosystem service value per unit area was 1.7294 million yuan/km2. The water and wetland ecosystems contributed the largest amount of ecosystem service value, accounting for more than 44. 00%, and the alpine river source wetlands and cold temperate coniferous forests were the high value areas of ecosystem service value. (3) The landscape ecological risk index (ERI) of the Qinghai Area of Qilian Mountain National Park in 1998, 2008 and 2018 were 0. 2287, 0. 2286 and 0. 2310, respectively, with an overall good ecological safety status. The landscape ecological risk is dominated by low ecological risk level and lower ecological risk level, accounting for about 90. 00%. The landscape ecological risk level of artificial grassland, dry land and construction land is higher. (4) The Qinghai area of the Qilian Mountains National Park was divided into four types of ecological spatial zones: ecologically secure habitat restoration zone (I), ecologically fragile special protection zone (II), ecologically improved development and utilization zone (III), and ecologically preventive conservation and nurturing zone (IV), based on two dimensions of ecosystem service value and landscape ecological risk. The Z-score standardized four-quadrant division results show that the ecological spatial zoning structure of the Qinghai area of the Qilian Mountains National Park shows a trend of steady to good change, according to which a differentiated and targeted ecological spatial zoning control scheme was proposed. © 2023 Science Press. All rights reserved.","control scheme; ecological risk; ecological zoning; ecosystem services; land use change","China; Gansu; Qilian Mountains National Nature Reserve; ecosystem service; ecozone; environmental risk; GIS; grassland; habitat restoration; land use change; landscape ecology; strategic approach; temporal evolution; wetland","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85152212060"
"Ferreira M.E.; Araújo I.S.; Avino F.S.; Costa J.V.S.; Oliveira-Da-Costa M.; Albuquerque R.W.; Balbuena E.M.","Ferreira, Manuel Eduardo (55433697500); Araújo, Ila Santos (57243134800); Avino, Felipe Spina (57213186407); Costa, João Vitor Silva (57213189776); Oliveira-Da-Costa, Marcelo (57211493360); Albuquerque, Rafael Walter (57213189629); Balbuena, Enrique Mieza (57242956500)","55433697500; 57243134800; 57213186407; 57213189776; 57211493360; 57213189629; 57242956500","Zoning the fire-risk in protected areas in brazil with drones: A study case for the brasília national park","2019","International Geoscience and Remote Sensing Symposium (IGARSS)","2019-July","","8900421","9097","9100","3","1","10.1109/IGARSS.2019.8900421","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113197195&doi=10.1109%2fIGARSS.2019.8900421&partnerID=40&md5=8964f6a449bab8bb267c84072ad497af","Management of Protected Areas usually poses challenges due to extension of the area to be monitored and/or by external threats. Within the scope of the Ecodrones1, in order to collaborate with the ICMBio - environmental agency of the Brazilian government, this research aimed to test drones for zoning the areas with risk of burning in parks and natural reserves in Cerrado biome. In this research, 32 overflights were carried out in the Brasília National Park (2017) using a multi-rotor drone (with RGB sensor). Aerial photos were mosaicated and classified according to land cover type and vegetation volume. Thus, the percentage of green and dry vegetation was estimated, in order to identify areas with greater susceptibility to burning. The methodology presented a good cost-effective, indicating the areas with highest fire-risk, and suggesting its adoption by the institutions. © 2019 IEEE.","Burnings; Savanna; Uav; Vegetation index","Antennas; Conservation; Cost effectiveness; Environmental protection; Remote sensing; Vegetation; Zoning; Cerrado biomes; Cost effective; Dry vegetation; Environmental agency; Land-cover types; National parks; Natural reserves; Protected areas; Drones","Conference paper","Final","","Scopus","2-s2.0-85113197195"
