"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Sibaja-Cordero J.A.; Camacho-García Y.E.; Azofeifa-Solano J.C.; Alvado-Arranz B.","Sibaja-Cordero, Jeffrey A. (25824001900); Camacho-García, Yolanda E. (24400858200); Azofeifa-Solano, Juan Carlos (56426613700); Alvado-Arranz, Bárbara (57208478381)","25824001900; 24400858200; 56426613700; 57208478381","Ecological patterns of macrofauna in sandy beaches of Costa Rica: A Pacific-Caribbean comparison","2019","Estuarine, Coastal and Shelf Science","223","","","94","104","10","6","10.1016/j.ecss.2019.04.032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064907997&doi=10.1016%2fj.ecss.2019.04.032&partnerID=40&md5=45820b27981b1a8b60c2912609904b99","The present study compares the ecological patterns of macrofauna in sandy beaches between the Caribbean and Pacific coasts of Costa Rica. At each beach, the intertidal zone was divided into five strata from low to high tide level. In each stratum, sediment samples (corer area: 20.2 cm2, diameter: 5.07 cm) were collected to analyze the macrofauna. Additionally, grain size composition, total organic matter and carbonates of the sediments were determined. The macrofauna diversity was higher in the Pacific coast (15 taxa, per beach) than in the Caribbean (4 taxa, per beach). The most diverse taxon group was the annelids, followed by arthropods and mollusks. Within the mollusks, the bivalves and the gastropod family Olivellidae were only present in the Pacific coast. Both Caribbean and Pacific coasts had a vertical zonation of taxa distribution from high to low tide level. Typically, the low tide level was populated by several polychaetes, mid littoral by crustacean and mollusks, and the high tidal level was populated by isopods (Cirolanidae). Faunal differences in richness, abundance and composition of assemblages between both coasts can be explained by environmental differences. The tidal range is narrower on the Caribbean (0.5–1.5 m) than the Pacific coast (2–3 m). The slope of the beach is steep in several beaches of the Caribbean, whereas the Pacific has several dissipative beaches with gentle (or flat) slopes. The organic matter was lower (1.00%) in the Caribbean than in the Pacific (2.25%). In the Caribbean coast, the sediment is ∼90% fine sand (500–63 μm), while in the Pacific this fraction was ∼65%, resulting in more heterogeneous sediments in the Pacific. Finally, evidence of change in the abundance and species composition with the latitude in each coast was detected; indicating that these communities are highly variable within a local scale, which could be due to the diversity of sandy beaches and environmental variation that Costa Rica has in both coasts. Our results indicate that beaches with higher number of species or abundance were not necessarily designated as Marine Protected Areas. This information should be considered in the future for the establishment of new Marine Protected Areas. © 2019 Elsevier Ltd","Coastal zone; Community ecology; Environmental factors; Intertidal invertebrates; Tropical beaches","Caribbean Islands; Costa Rica; Pacific Coast [Costa Rica]; Annelida; Arthropoda; Bivalvia; Cirolanidae; Costa (ostracode); Crustacea; Gastropoda; Invertebrata; Isopoda; Mollusca; Polychaeta; beach; coastal zone; community ecology; comparative study; ecological approach; environmental factor; fauna; intertidal community; invertebrate; marine ecosystem; protected area; species diversity; tropical environment","Article","Final","","Scopus","2-s2.0-85064907997"
"Taranto G.H.; González-Irusta J.-M.; Dominguez-Carrió C.; Pham C.K.; Tempera F.; Ramos M.; Gonçalves G.; Carreiro-Silva M.; Morato T.","Taranto, Gerald Hechter (55329734200); González-Irusta, José-Manuel (36161166200); Dominguez-Carrió, Carlos (55637630500); Pham, Christopher K. (26656061500); Tempera, Fernando (10440405000); Ramos, Manuela (57644584200); Gonçalves, Guilherme (58159753800); Carreiro-Silva, Marina (8586881500); Morato, Telmo (6604092292)","55329734200; 36161166200; 55637630500; 26656061500; 10440405000; 57644584200; 58159753800; 8586881500; 6604092292","Spatial distributions, environmental drivers and co-existence patterns of key cold-water corals in the deep sea of the Azores (NE Atlantic)","2023","Deep-Sea Research Part I: Oceanographic Research Papers","197","","104028","","","","0","10.1016/j.dsr.2023.104028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151022951&doi=10.1016%2fj.dsr.2023.104028&partnerID=40&md5=120143e84709baf63e8ee9d9e486f153","Habitat-forming cold-water corals (CWCs) represent a key component of deep-sea benthic communities and a priority target for conservation. Although research efforts have been mounting to try and identify the drivers of CWC distributions, progress has been limited by the scarcity of ecological data. The present work employs habitat suitability models (HSMs) to estimate spatial distributions, environmental drivers and co-existence patterns of 14 habitat-forming CWCs in the Azores, an area considered a hotspot of coral diversity in the Atlantic. The modelled CWCs showed a strong bathymetric zonation, which seems to be determined by the vertical stratification of water masses in the region. In particular, the modelled CWCs can be clustered in four groups named after the isopycnal (vertical) layers in which Atlantic water masses are organized: species restricted to upper water masses, species extending down from upper water masses, species restricted to intermediate water masses and species extending up from deep water masses. Horizontal patterns further indicate that the Azores Current and different production regimes north and south of the archipelago likely influence the distribution of CWCs in sub-surface waters. Such results have important implications for the regional management of deep-sea benthic communities and, in particular, for the design of representative networks of protected areas. The combined habitat of all modelled species covered only 11%. Given that they all possess the characteristics of benthic foundation organisms and represent indicator taxa of vulnerable marine ecosystems all the modelled species should be viewed as important targets for conservation. The lace coral Errina dabneyi deserves particular attention since this species appears to be endemic to the Azores and has a very limited estimated distribution. © 2023 The Authors","Azores; Cold-water corals; Deep sea; Foundation species; Vulnerable marine ecosystems; Water masses","Atlantic Ocean; Atlantic Ocean (Northeast); Azores Current; Ecosystems; Oceanography; Population distribution; Surface waters; Azore; Benthic communities; Co-existence; Cold-water corals; Deep sea; Ecological data; Foundation species; Research efforts; Vulnerable marine ecosystem; Water mass; archipelago; benthos; coexistence; coral; deep water; deep-sea organism; ecological modeling; environmental factor; intermediate water; marine ecosystem; spatial distribution; stratification; water mass; Conservation","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85151022951"
"Gómez Díaz J.A.; Lira-Noriega A.; Villalobos F.","Gómez Díaz, Jorge Antonio (57194899036); Lira-Noriega, Andrés (16025032400); Villalobos, Fabricio (35794608400)","57194899036; 16025032400; 35794608400","Expanding protected areas in a Neotropical hotspot","2023","International Journal of Sustainable Development and World Ecology","","","","","","","0","10.1080/13504509.2022.2163717","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145502946&doi=10.1080%2f13504509.2022.2163717&partnerID=40&md5=4e2e5c2fa8b00e86e839a420cc5d71cc","The region of central Veracruz is considered a biodiversity hotspot due to its high species richness and environmental heterogeneity, but only 2% of this region is currently protected. This study aimed to assess the current protected area system’s effectiveness and to identify priority conservation areas for expanding the existing protected area system. We used the distribution models of 1186 species from three kingdoms (Animalia, Plantae, and Fungi) together with ZONATION software, a conservation planning tool, to determine areas that could help expand the current network of protected areas. We applied three different parametrizations (including only species, using the boundary quality penalty, and using corridor connectivity). We found that protecting an additional 15% of the area would increase, between 16.2% and 19.3%, the protection of the distribution area of all species. We propose that the regions with a consensus of the three parametrizations should be declared as new protected areas to expand 374 km2 to the 216 km2 already protected. Doing so would double the protected surface in central Veracruz. The priority areas identified in this study have more species richness, carbon stock values, natural vegetation cover, and less human impact index than the existing protected areas. If our identified priority areas are declared protected, we could expect a future recovery of endangered species populations for Veracruz. The proposed new protected areas are planned and designed as corridors connecting currently isolated protected areas to promote biodiversity protection. © 2023 Informa UK Limited, trading as Taylor & Francis Group.","biodiversity; central Veracruz; conservation policy; habitat loss; Mexico; systematic conservation planning","","Article","Article in press","","Scopus","2-s2.0-85145502946"
"Hoeksema B.W.; van der Loos L.M.; van Moorsel G.W.N.M.","Hoeksema, Bert W. (6506357675); van der Loos, Luna M. (57189063329); van Moorsel, Godfried W.N.M. (6601989428)","6506357675; 57189063329; 6601989428","Coral diversity matches marine park zonation but not economic value of coral reef sites at St. Eustatius, eastern Caribbean","2022","Journal of Environmental Management","320","","115829","","","","3","10.1016/j.jenvman.2022.115829","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135903660&doi=10.1016%2fj.jenvman.2022.115829&partnerID=40&md5=1bf6203a824386868b84cb061efd6968","Stony corals play a key role in the marine biodiversity of many tropical coastal areas as suppliers of substrate, food and shelter for other reef organisms. Therefore, it is remarkable that coral diversity usually does not play a role in the planning of protected areas in coral reef areas. In the present study we examine how stony coral diversity patterns relate to marine park zonation and the economic value of reefs around St. Eustatius, a small island in the eastern Caribbean, with fisheries and tourism as important sources of income. The marine park contains two no-take reserves. A biodiversity survey was performed at 39 sites, 24 inside the reserves and 15 outside; 22 had a maximum depth >18 m and 17 were shallower. Data on economic value per site were obtained from the literature. Corals were photographed for the verification of identifications made in the field. Coral species richness (n = 49) was highest in the no-take reserves and species composition was mainly affected by maximum depth. No distinct relation is observed between coral diversity and fishery value or total economic value. Based on the outcome of this study we suggest that in future designs of marine park zonation in reef areas, coral diversity should be taken into consideration. This is best served by including reef areas with a continuous depth gradient from shallow flats to deep slopes. © 2022 The Authors","Conservation; Coral reefs; Depth gradient; Habitat diversity; Marine protected area; Stony corals","Animals; Anthozoa; Biodiversity; Caribbean Region; Coral Reefs; Ecosystem; Fisheries; Leeward Islands [Lesser Antilles]; Saint Eustatius; biodiversity; biozonation; coastal zone; conservation planning; coral reef; economic analysis; investment; marine park; species diversity; species richness; water depth; article; biodiversity; Caribbean; clinical article; coral; coral reef; fishery; habitat; species composition; species richness; tourism; zonation; animal; Anthozoa; Caribbean; ecosystem","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85135903660"
"Jufaili S.M.A.; Rashdi K.A.; Elegbede I.O.","Jufaili, Saud M. Al (57221381203); Rashdi, Khalfan Al (57221379400); Elegbede, Isa O. (57189711810)","57221381203; 57221379400; 57189711810","The Omani Abalone Haliotis mariae (Wood, 1828) Fishery: Challenges over Three Decades","2020","Journal of Shellfish Research","39","3","","683","693","10","0","10.2983/035.039.0314","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098953740&doi=10.2983%2f035.039.0314&partnerID=40&md5=322badddb315d5fede2503ee372f9e00","The Omani abalone Haliotis mariae (Wood, 1828) supports one of the most valuable fisheries in Oman. It is specific to defined areas along the northern region of Dhofar in Oman. This study reviews the management of the Omani abalone fishery during the last 31 y, identifies the challenges encountered, and suggests solutions to overcome these difficulties. During the period 1988-2018, annual abalone landings ranged from 29 tonnes (mt) in 1999 to 149 mt in 2011, with an average of 53 mt. In 2019, landings 24 t (53 t whole weight) were reported to be the lowest in the last three decades and landed within 10 days of opening. The fishery generated 1.3 million Omani rials (3.38 million US$) (OR, where 1 OR = 2.6 USD) in 1993 and 8.2 million OR in 2011, with an average of 2.5 million OR (6.5 million US$). By contrast, the average annual price per kg was 50 OR (130 US$). The fishery was mainly managed in accordance with seasonal closures, which ranged from 6 mo to less than 1 mo; in one case, there was a complete suspension of fishing for 3 y. The number of fishers engaged in this fishery was not stable, and fluctuated between 1,450 in 1993 and 8,539 in 2014. The seasonal closures between 1988 and 2003 resulted in a gradual decrease in average landings, reaching 2%-45% at the end of the season, with an average of 27%. The percentage of divers who participated at the end of the season ranged from 9% to 90%, with an average of 47%. It is suggested that the government should conduct comprehensive research to assess the Omani abalone stock, population dynamics, and habitat, as well as the behavior of the fishermen. Furthermore, better data collection and monitoring systems should be established. It is strongly recommended that a ""pulse fishing"" or spatial-based or temporary marine-protected area fishing (zonation) approach that serves the objectives of stock and habitat preservation be implemented. Thus, the restoration of the Omani abalone fishery is achievable but will require long-term research efforts. © 2020 National Shellfisheries Association. All rights reserved.","abalone; catch; fishery management; fishing seasons; Haliotis mariae; landings; Oman","","Article","Final","","Scopus","2-s2.0-85098953740"
"Li-Hua J.I.; Jun-Qin G.A.O.; Ji-Zhong W.A.N.; Ji-Ping L.I.U.","Li-Hua, Jiang (57214444694); Jun-Qin, Gao (57214463301); Ji-Zhong, Wan (57214444724); Ji-Ping, Liu (57214471666)","57214444694; 57214463301; 57214444724; 57214471666","Analysis of priority protection area of martes zibellina under climate change in daxing'anling, china","2019","Journal of Ecology and Rural Environment","35","11","1673-4831(2019)11-1404-08","1404","1411","7","2","10.19741/j.issn.1673-4831.2018.0782","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078781915&doi=10.19741%2fj.issn.1673-4831.2018.0782&partnerID=40&md5=17b4306d7778298ebd0cd754b80e63b1","The climate change has significant effects on the potential distribution of Martes zibellina in Daxing'anling region. Eight key environmental factors, including four climate variables (Bio1, Bio2, Bio5, Bio6), three topographic variables (slope, aspect, elevation) and vegetation type, were selected to simulate the potential distribution of Martes zibellina in Daxing'anling by using MaxEnt model with the current and the future climate change scenarios (RCP 4.5, 8.5). The Priority Protection Areas (PPAs) and the target PPAs were identified by Zonation and ArcGIS. The results show that:(1) The suitable habitats of Martes zibellina are mainly distributed in the central and the northwestern parts of Daxing'anling with the current climate scenario, which is 13.74% of the total area of Daxing’anling region; (2) With the future climate change scenarios, the suitable habitats of Martes zibellina would be decreased by 7.21-13.72 percent compared to the current area; (3) Under current climate condition, the PPAs of Martes zibellina are mainly distributed in the northeast of Ergun City, the southwest of Mohe County, the west of Huma County and the east of Genhe City, and 46.19% of the target PPAs have been conserved by protected areas (PAs). The protection gaps were mainly distributed in the central and the east of Genhe City, and the juncture of Ergun City and Mohe County. It is recommended to set ecological corridors and more PAs to provide strong guarantee for the effective protection of Martes zibellina. © 2019, China Environmental Science Press. All rights reserved.","Climate change; Daxing'anling; Martes zibellina; Priority protection area; Suitable habitat","Beijing [China]; China; Da Hinggan Mountains; Daxing; Genhe; Heilongjiang; Mohe; Nei Monggol; Martes zibellina; climate change; ecological modeling; environmental factor; habitat type; protected area; small mammal; vegetation type","Article","Final","","Scopus","2-s2.0-85078781915"
"Bullock K.; Wood A.; Dames V.A.; Venter J.A.; Greeff J.","Bullock, K. (57263312000); Wood, A. (7401883117); Dames, V.A. (57211966584); Venter, J.A. (7102429261); Greeff, J. (57263868300)","57263312000; 7401883117; 57211966584; 7102429261; 57263868300","A decade of surf-zone linefish monitoring in the Dwesa-Cwebe Marine Protected Area, with a preliminary assessment of the effects of rezoning and resource use","2021","African Journal of Marine Science","43","3","","309","323","14","3","10.2989/1814232X.2021.1951353","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115146732&doi=10.2989%2f1814232X.2021.1951353&partnerID=40&md5=2e34aeab07a5d5e41f938c163cc19f96","An 11-year assessment of surf-zone linefish (marine fish captured on hook and line) was carried out in the Dwesa-Cwebe Marine Protected Area (MPA) in the Eastern Cape, South Africa, by research fishing to determine species and size composition, movement and relative abundance using catch per unit effort (CPUE). Comparisons were made between the Cwebe and Dwesa sections of the MPA on either side of the Mbhashe Estuary, as well as between two partially protected areas (PPAs) and two no-take zones in the Dwesa section, which came into effect in January 2016. A total of 7 241 fish representing 43 species were recorded, where 39.5% of the species are endemic, 29.5% are considered threatened by the IUCN, and 27.3% are either overexploited, collapsed or in decline. Of 3 963 tagged fish, 128 (3.2%) recaptures were recorded, of which most (62%) exhibited no movement. Localised differences in species diversity, size frequency and CPUE were detected between the Dwesa and Cwebe sections, and lower average length and CPUE of some species were recorded in the Dwesa PPAs compared with in the Dwesa no-take zones. These differences were more prominent in slow-growing, long-lived species with small home ranges, indicating the negative impacts of fishing pressure on vulnerable species found in this MPA and a reduction in benefits that would otherwise be associated with no-take zonation. These findings highlight the need to revisit the rezoning of the MPA with regard to the size of the no-take zones and emphasise the need for effective law enforcement to ensure adherence to existing regulations. © 2021 NISC (Pty) Ltd.","CPUE; Eastern Cape coast; fish diversity; fish population recovery; marine partially protected areas; mark-recapture; monitoring; MPA zonation","Cwebe; Dwesa Nature Reserve; Eastern Cape; South Africa; assessment method; biomineralization; catch per unit effort; law enforcement; relative abundance; resource use; surf zone","Article","Final","","Scopus","2-s2.0-85115146732"
"de Alcântara M.S.; de Lucena C.M.; de Lucena R.F.P.; da Cruz D.D.","de Alcântara, Micaelle Sônia (57214107760); de Lucena, Camilla Marques (55837224300); de Lucena, Reinaldo Farias Paiva (12345185600); da Cruz, Denise Dias (14622213800)","57214107760; 55837224300; 12345185600; 14622213800","Ethnobotany and Management of Dimorphandra gardneriana in a Protected Area of Chapada do Araripe Semiarid Ceará, Northeastern Brazil","2020","Environmental Management","65","3","","420","432","12","3","10.1007/s00267-020-01253-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078226153&doi=10.1007%2fs00267-020-01253-0&partnerID=40&md5=4b2da4f4e69686265894cd75584316c8","The development of conservation strategies for nontimber forest products requires the characterization of the management systems and ethnoecological knowledge of the used species, as well as the analysis of the biological impacts of these processes. This study aimed to evaluate management systems and extractivist areas and related ethnoecological knowledge of Dimorphandra gardneriana (fava d’anta) in the semiarid region of Ceará, Northeast of Brazil. Fava d’anta produces fruits with high concentration of bioflavonoids, substances with various pharmacological properties, being exploited by extractivist communities in the mosaic of protected areas in Chapada do Araripe, Ceará. Ethnoecological knowledge has been concentrated on collectors who have been in activity for a longer time and/or plant the species. We identified three management systems that can impact in different ways on fava d’anta populations, depending on the area and level of human interference with the species. The extractivists respect the zoning of protected areas and do not enter in the full protection area, choosing areas with the highest tree density. The different systems produce a mosaic that creates different extraction opportunities and modifications to the local landscape and to fava d’anta populations. Factors that may have effects on the conservation of the species are the lack of supervision and overexploitation of the resource in native areas, while the factors that affect the health of extractivists are the infrastructure of the work and exposure to wild environments. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.","Conservation unit; Extractivism; Participatory mapping; Traditional ecological knowledge","Brazil; Conservation of Natural Resources; Ethnobotany; Fabaceae; Forests; Humans; Trees; Brazil; Ceara; Chapada do Araripe; Dimorphandra; Arid regions; Data mining; Environmental protection; Plants (botany); Conservation strategies; Conservation units; Extractivism; Human interference; Non-timber forest products; Northeastern Brazil; Pharmacological properties; Traditional ecological knowledge; conservation management; ethnobotany; exploitation; habitat mosaic; knowledge; management practice; mapping method; participatory approach; protected area; semiarid region; traditional knowledge; wild population; Article; Brazil; demography; Dimorphandra gardneriana; environmental management; environmental protection; ethnobotany; Fabaceae; nonhuman; plantation; pollination; species habitat; structured questionnaire; zonation; forest; human; tree; Conservation","Article","Final","","Scopus","2-s2.0-85078226153"
"Stralberg D.; Carroll C.; Nielsen S.E.","Stralberg, Diana (25643534300); Carroll, Carlos (7101866082); Nielsen, Scott E. (7402454506)","25643534300; 7101866082; 7402454506","Toward a climate-informed North American protected areas network: Incorporating climate-change refugia and corridors in conservation planning","2020","Conservation Letters","13","4","e12712","","","","36","10.1111/conl.12712","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083197322&doi=10.1111%2fconl.12712&partnerID=40&md5=3cd4df563631fdafde4b7de75f441ea9","Global and national commitments to slow biodiversity loss by expanding protected area networks also provide opportunities to evaluate conservation priorities in the face of climate change. Using recently developed indicators of climatic macrorefugia, environmental diversity, and corridors, we conducted a systematic, climate-informed prioritization of conservation values across North America. We explicitly considered complementarity of multiple conservation objectives, capturing key niche-based temperature and moisture thresholds for 324 tree species and 268 songbird species. Conservation rankings were influenced most strongly by climate corridors and species-specific refugia layers. Although areas of high conservation value under climate change were partially aligned with existing protected areas, ∼80% of areas within the top quintile of biome-level conservation values lack formal protection. Results from this study and application of our approach elsewhere can help improve the long-term value of conservation investments at multiple spatial scales. © 2020 The Authors. Conservation Letters published by Wiley Periodicals, Inc.","climate corridors; climate-change adaptation; conservation planning; protected areas; refugia; Zonation","","Letter","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85083197322"
"Elston C.; Cowley P.D.; Murray T.S.; Parkinson M.C.","Elston, Chantel (56921655000); Cowley, Paul D. (7005402701); Murray, Taryn S. (56575904000); Parkinson, Matthew C. (57195069842)","56921655000; 7005402701; 56575904000; 57195069842","Novel insights into coastal site affinity and habitat connectivity of a benthic stingray with implications for management","2023","Biodiversity and Conservation","32","1","","181","202","21","0","10.1007/s10531-022-02494-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141375303&doi=10.1007%2fs10531-022-02494-7&partnerID=40&md5=0951c02540ed74633eeb8e0a8f84aa4e","The blue stingray Dasyatis chrysonota is an important and endemic coastal inhabitant of southern African coastal waters however, it is listed as Near Threatened with declining populations. Understanding it’s spatial ecology in the context of current Marine Protected Areas (MPAs) is vital to not only inform population dynamics and ecological roles, but to determine whether currently zoned MPAs can provide sufficient protection to this species. Twenty-seven individuals were monitored using the Acoustic Tracking Array Platform (ATAP—a nation-wide collaborative network of acoustic receivers) for up to 4.5 years. Individuals displayed site affinity to defined regions of the coast, with the majority of detections for most individuals being recorded in the shallow bay/coastal shelf they were tagged in. However, important movement corridors linking different habitats were also identified (inshore vs offshore and coastal bay vs coastal shelf habitats). This habitat use varied monthly and was influenced by temperature, with individuals displaying restricted movements to the shallow bay habitat in summer when deeper waters were much colder. The large collaborative nature of the ATAP allowed for the monitoring of a benthic ray across large spatial scales for the first time, challenging preconceived notions that small undulatory batoids cannot travel large distances (many individuals were found to travel up to 200 km). Insights can also assist in local management of this species, and highlight that current MPA zonation may not be sufficient to protect blue stingrays from further population declines. © 2022, The Author(s), under exclusive licence to Springer Nature B.V.","Acoustic telemetry; Dasyatidae; Dasyatis chrysonota; South Africa; Spatial ecology","South Africa; bay; coastal water; connectivity; fish; habitat use; monitoring system; movement; population dynamics; summer; zonation","Article","Final","","Scopus","2-s2.0-85141375303"
