"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Horta e Costa B.; Guimarães M.H.; Rangel M.; Ressurreição A.; Monteiro P.; Oliveira F.; Bentes L.; Sales Henriques N.; Sousa I.; Alexandre S.; Pontes J.; Afonso C.M.L.; Belackova A.; Marçalo A.; Cardoso-Andrade M.; Correia A.J.; Lobo V.; Gonçalves E.J.; Pitta e Cunha T.; Gonçalves J.M.S.","Horta e Costa, Barbara (55757306200); Guimarães, M. Helena (57206534296); Rangel, Mafalda (21733786700); Ressurreição, Adriana (23393966700); Monteiro, Pedro (55918227800); Oliveira, Frederico (35230254000); Bentes, Luís (6603195176); Sales Henriques, Nuno (57783368300); Sousa, Inês (55819652800); Alexandre, Sofia (57794715200); Pontes, João (57226728699); Afonso, Carlos M. L. (23468457300); Belackova, Adela (57725971000); Marçalo, Ana (6505855915); Cardoso-Andrade, Mariana (57219777888); Correia, António José (57981381600); Lobo, Vanda (57980882900); Gonçalves, Emanuel J. (7004990739); Pitta e Cunha, Tiago (57160974800); Gonçalves, Jorge M. S. (7103326116)","55757306200; 57206534296; 21733786700; 23393966700; 55918227800; 35230254000; 6603195176; 57783368300; 55819652800; 57794715200; 57226728699; 23468457300; 57725971000; 6505855915; 57219777888; 57981381600; 57980882900; 7004990739; 57160974800; 7103326116","Co-design of a marine protected area zoning and the lessons learned from it","2022","Frontiers in Marine Science","9","","969234","","","","1","10.3389/fmars.2022.969234","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142600818&doi=10.3389%2ffmars.2022.969234&partnerID=40&md5=8522019d91ff80b88a68a1d3813260c2","Marine Protected Areas (MPAs) are a tool to safeguard marine natural systems, yet their effectiveness depends on how well they are integrated into the existing socioeconomic context. Stakeholder engagement in MPA design can contribute to increasing integration. This study focuses on the co-design of an MPA between researchers, public administration, the private sector, and non-governmental organizations. The proposed MPA is in Portugal and includes an area that is a hotspot for biodiversity and economic activities. This is the first MPA proposal in mainland Portugal co-designed using a participatory approach. This study highlights the steps of the zoning process and synthesizes the eight main lessons learned, useful for other cases, particularly for relatively small coastal MPAs with multiple socioeconomic activities. Three zoning proposals were developed and discussed within the participatory process. The proposals considered the best scientific and local knowledge available and were defined using ecological, socioeconomic, and shape-area guiding principles. In an iterative manner and following a participatory approach, compromises with stakeholders were achieved, and a final proposal, scientifically sound and socially accepted by most stakeholders, was delivered to the government. The final zoning plan will achieve ambitious conservation goals, including the largest fully protected area to be declared in mainland Portugal, while minimizing the impacts on the existing economic activities and promoting its sustainability. This process resulted in valuable lessons that may be applied elsewhere and guide future MPA implementation or rezoning of existing ones. These transdisciplinary and participatory processes can be time and resource-consuming but are vital for ensuring MPA effectiveness. Copyright © 2022 Horta e Costa, Guimarães, Rangel, Ressurreição, Monteiro, Oliveira, Bentes, Sales Henriques, Sousa, Alexandre, Pontes, Afonso, Belackova, Marçalo, Cardoso-Andrade, Correia, Lobo, Gonçalves, Pitta e Cunha and Gonçalves.","co-design; guiding principles; marine protected area (MPA); participatory approaches; stakeholder engagement; transdisciplinary; zoning","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85142600818"
"Hall A.E.; Cameron D.S.; Kingsford M.J.","Hall, April E. (57188703606); Cameron, Darren S. (12645018300); Kingsford, Michael J. (7004059723)","57188703606; 12645018300; 7004059723","Partially protected areas as a management tool on inshore reefs","2021","Reviews in Fish Biology and Fisheries","31","3","","631","651","20","8","10.1007/s11160-021-09654-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105438293&doi=10.1007%2fs11160-021-09654-y&partnerID=40&md5=36cd8f51596519b9145790c9bc9146ad","Partially Protected Areas (PPAs) are a widely-used management tool, yet comparatively little is known about their effectiveness compared to more commonly studied No-Take Marine Reserves (NTMRs). Here, we examine the efficacy of two kinds of PPAs (with and without spearfishing) within the Great Barrier Reef Marine Park (GBRMP) that are subject to a range of fishing limitations, and assess their utility as a marine park zoning and fisheries management tool. Fish abundance, size, and habitat composition were compared inside PPAs and NTMRs on inshore reefs of the central GBR. Fish abundances were lower inside PPAs relative to adjacent NTMRs for primary fishing targets, with no detectable effects for secondary targets and non-targets, or for species richness. Fish assemblages differed amongst zones, but these variations were minor compared to regional variations in species composition. Partially Protected Areas supported 46%–69% of the relative abundance of total primary targets compared to adjacent NTMRs, with no evident increase in abundance in zones where spearfishing was prohibited. There were no reductions in the size of two key target species: coral trout (Plectropomus spp.) and stripey snapper (Lutjanus carponotatus) inside PPAs, and only stripey snapper had significant reductions in abundance inside PPAs compared to NTMRS. Habitat and biophysical characteristics (especially topographic complexity) were strong drivers of fish abundance, but the relative influence of zone was greater for target species compared to non-targets. This study provides novel data on PPAs and highlights their utility as a spatial management tool in contributing to conservation and fisheries management goals. © 2021, The Author(s), under exclusive licence to Springer Nature Switzerland AG.","Conservation; Fish assemblages; Fisheries; Great Barrier Reef; Marine Protected Area; Zoning","Australia; Coral Sea; Great Barrier Reef; Queensland; Lutjanus carponotatus; Microcanthus strigatus; Plectropomus; environmental management; fishery management; marine park; nature conservation; protected area; reef; relative abundance","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85105438293"
"Wang X.; Li C.; Liu Y.; Ji Z.; Li L.; Yu L.","Wang, Xiuli (55736954800); Li, Chengxiu (57224482855); Liu, Yuxin (57224488287); Ji, Zhengxin (57216884499); Li, Ling (56822309400); Yu, Lin (57221079465)","55736954800; 57224482855; 57224488287; 57216884499; 56822309400; 57221079465","Zoning and Improving Path of Cultivated Land Use Efficiency Based on Evaluation of Cultivated Land Suitability; [基于宜耕性评价的耕地利用效率分区与提升路径]","2021","Nongye Jixie Xuebao/Transactions of the Chinese Society for Agricultural Machinery","52","5","","212","218","6","4","10.6041/j.issn.1000-1298.2021.05.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107698030&doi=10.6041%2fj.issn.1000-1298.2021.05.023&partnerID=40&md5=5e8f37f573f953302eb20ea7851f642f","In order to reasonably improve the efficiency of cultivated land use, strengthen the construction of ecological civilization and the sustainable use of resources on the basis of cultivated landsuitability, taking Yuanyang County as an example, the cultivated land use efficiency was divided into different regions by comprehensively considering the evaluation results of cultivated land use efficiency and suitability, and the measures for improving the cultivated land use efficiency in each region was proposed. The results showed that from the perspective of cultivated land use efficiency, the average value of cultivated land use comprehensive efficiency in Yuanyang County was 0.837, the overall level was not high, and there was a large space for improvement of pure technical efficiency and scale efficiency. According to the evaluation results of cultivated land suitability, the suitable arable area, basic suitable arable area, low suitable arable area and basin protection area accounted for 37.84%, 41.36%, 19.09% and 1.71% of the total cultivated land in Yuanyang County, respectively, and the arable ability was strong. The cultivated land use efficiency in Yuanyang County was divided into conservation area, promotion area, adjustment area and protection area by superposition of the evaluation results of cultivated land use efficiency and arable land suitability.From the perspective of sustainable utilization and ecological protection, combining with differentiated remediation measures, in the conservation area, maintaining high arable land, arable land use efficiency and extending the ecological and economic value of arable land were the key points.The promotion area had strong arable and low cultivated land use efficiency. It can maximize its effective use efficiency through large-scale operation.In the adjustment area, the suitable tillage was poor, and the utilization efficiency of cultivated land should not be improved. Ecological agriculture or facility hydroponic agriculture should be developed to improve the economic benefits of cultivated land and alleviate the pressure of cultivated land and ecological protection. The cultivated land in the protected area would be withdrawn gradually, and its wetland and ecological functions would be brought into full play. The research results can provide reference for the sustainable utilization of cultivated land resources. © 2021, Chinese Society of Agricultural Machinery. All right reserved.","Evaluation of cultivated land suitability; Improving path; Yuanyang County; Zoning of cultivated land use efficiency","Agricultural robots; Agriculture; Conservation; Ecology; Economics; Efficiency; Comprehensive efficiencies; Ecological agricultures; Ecological and economic; Ecological functions; Ecological protection; Pure technical efficiencies; Sustainable utilization; Utilization efficiency; Land use","Article","Final","","Scopus","2-s2.0-85107698030"
"Wang Y.; Yang H.; Qi D.; Songer M.; Bai W.; Zhou C.; Zhang J.; Huang Q.","Wang, Yujun (57215441168); Yang, Hongbo (56888146800); Qi, Dunwu (22935311400); Songer, Melissa (6603178927); Bai, Wenke (57197718952); Zhou, Caiquan (8282110900); Zhang, Jindong (12041725600); Huang, Qiongyu (55467519200)","57215441168; 56888146800; 22935311400; 6603178927; 57197718952; 8282110900; 12041725600; 55467519200","Efficacy and management challenges of the zoning designations of China's national parks","2021","Biological Conservation","254","","108962","","","","15","10.1016/j.biocon.2021.108962","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099612828&doi=10.1016%2fj.biocon.2021.108962&partnerID=40&md5=2feeff171977604836a1a5cd3a86e4e3","China is transforming its management of protected areas by establishing a national park system. To balance the needs of conservation and development, the national parks will adopt a zoning designation to delimit land in the parks for different purposes. These include a core zone that covers critical areas for conservation and allows few human uses, and a control zone that permits a wider range of development activities. However, the efficacy and management challenges of this zoning scheme are largely unknown. Using the Giant Panda National Park (GPNP) in Sichuan Province as an example, we evaluated the efficacy of the park's zoning designations by assessing the spatial distribution of critical habitat areas for panda conservation and human disturbance across different zones. Our results show that the core zone of the GPNP performs well in covering the majority of panda habitat (80%), highly suitable habitat (81%), and habitat patches that can support a viable panda population (80%). There is still space for improvement, however, because a significant portion (39%) of the potential corridors that require strict protections fall outside the core zone. Human disturbances are prevalent in the core zone of the park, representing a major challenge to achieving the management goal of eliminating human disturbances in the core zone. Our analyses and methods provide crucial information and tools to inform the design and management of the zoning designations of the GPNP and other PAs in China and beyond. © 2021 Elsevier Ltd","Giant Panda National Park; Habitat connectivity; Habitat suitability; Human disturbances; Protected areas; Zoning designations","Ailuropoda melanoleuca; Trachinotus falcatus","Article","Final","","Scopus","2-s2.0-85099612828"
"Yuan J.; Yang D.; Liu N.; Gao C.","Yuan, Jingda (58059238900); Yang, Diechuan (57216825929); Liu, Nan (58059594400); Gao, Chi (57213814343)","58059238900; 57216825929; 58059594400; 57213814343","A local-scale participatory zoning approach to conflict resolution in protected areas","2023","Landscape and Urban Planning","232","","104677","","","","0","10.1016/j.landurbplan.2022.104677","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146064649&doi=10.1016%2fj.landurbplan.2022.104677&partnerID=40&md5=d399547238439eaa88c6d4b185c94ab2","Protected areas (PAs) commonly involve multiple objectives, rendering zoning increasingly important. However, the generalised zoning of PAs leads to local conflicts, often caused by the scale mismatch between the generalised zoning and the social-ecological systems. Generalised zoning approaches offer only single-scale management practices, hence zoning tends to cover large areas where local social-ecological systems are neglected. This study aims to develop and test a local-scale participatory zoning approach for PAs to resolve local conflicts. The proposed approach is developed using a landscape services framework, starting with a progressive stakeholder analysis to gain a deeper understanding of the local social-ecological system, involving the identification of stakeholders and landscape service typology, differentiating between and categorising stakeholders and investigating relationships between stakeholders. Lastly, facilitate stakeholder collaboration to develop a consensus zoning scheme based on these understandings. This was tested in Baoku Valley (China) to reveal the strengths and limitations of the approach and provide a case for application in other PAs. Eighteen stakeholders and twenty-five landscape services were identified. The stakeholders were divided into three groups according to their preferences for landscape services and the spatial relationships between the three stakeholder groups were identified. A consensus zoning scheme consisting of five zones was then developed by the stakeholders in a workshop. The results suggest that the local-scale participatory zoning approach can help resolve local conflicts in PAs by dividing conflict areas into more precise planning units and providing more fine-scaled management strategies matched to local social-ecological systems. © 2023 Elsevier B.V.","China; Conservation planning; Land management conflict; Landscape service; Participatory spatial planning; Scale mismatch","China; conservation management; conservation planning; landscape ecology; landscape planning; participatory approach; protected area; spatial planning; stakeholder; strategic approach","Article","Final","","Scopus","2-s2.0-85146064649"
"Varukha A.V.","Varukha, A.V. (57834505600)","57834505600","Effective Management of Protected Areas and the Role of Functional Zoning in Its Assessment Methods","2022","Ukrainian Geographical Journal","2022","2","","64","72","8","0","10.15407/ugz2022.02.064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141082971&doi=10.15407%2fugz2022.02.064&partnerID=40&md5=fa1e8ca86a73faccc92a554ea5526bf3","The article aims to define the role of functional zoning in the effective management of protected areas and to analyze the main methods of assessing the protected area (PA) management effectiveness. The research was performed using general scientific research methods. Methods and factors that should be taken into account when developing functional zoning are highlighted. The significant potential for the use of functional zoning to improve PA's management is pointed out, in particular, through methodological improvement, implementation of international experience, including IUCN recommendations, and ensuring the balance between zones. The analysis of the basic methods of protected areas management effectiveness is carried out. The role of spatial organization and functional zoning in achieving high-performance indicators of PAs management in protected areas management effectiveness assessments is indicated. For the first time, the peculiarities of the integration of the indicators of the criterion of functional zoning into the methodology of assessing the effectiveness of management of PAs and the need for its wider implementation in these methodologies are identified. © Bapyxa A. B., 2022.","Functional zoning; Protected areas; Protected areas management effectiveness","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85141082971"
"Rodrigues N.M.L.; Massi K.G.; Mantovani J.R.A.; de Alcântara E.H.","Rodrigues, Nathalia Maria Lins (57671365100); Massi, Klécia Gili (57094070900); Mantovani, José Roberto Amaro (57220575037); de Alcântara, Enner Herenio (57216482680)","57671365100; 57094070900; 57220575037; 57216482680","Allocation of legal reserves of the paper and pulp company Suzano S.A. based on territorial planning in São Paulo state, Brazil","2022","Environmental Challenges","7","","100518","","","","0","10.1016/j.envc.2022.100518","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129630822&doi=10.1016%2fj.envc.2022.100518&partnerID=40&md5=b5c19f8dab3378c0b72b989dcad1d30f","Legal Reserves (RL) determine a percentage of native vegetation that needs to be maintained in rural properties in Brazil. It can be compensated or allocated by restoring the vegetation on the property itself or in another one. The large-scale restorations projects have a high cost, so it is important to develop forest restoration methodologies that assist in decision making, to identify factors and to map possibilities of allocation of RL. Thus, we aimed to map priority areas for allocating legal reserves and for restoration, a problem of land planning in a general position, applying it to an specific example of the company Suzano S.A. as a case study, the largest pulp and paper company in Latin America, and to discuss the applicability of used criteria. We expect that this methodology would show how much priority and where legal reserves should be allocated, in order to comply with Brazilian legislation. For that, we used Geographic Information System (GIS) and Multiple-Criteria Decision Analysis (MCDA). Selection of criteria was based on territorial planning that assist in forest restoration and of importance to Suzano and they were analyzed by a Hierarchical Analytical Process (AHP) to differentiate the importance of each criterion. According to the Brazil forest code, priority areas for RL allocation should consider river basin plans, Ecological-Economic Zoning, ecological corridors connection with protected areas, sites with greatest importance for the conservation of biodiversity and areas of environmental fragility. We found that most part of the state was classified as lower importance priority areas. Instead, current location of Suzano Legal Reserves is mostly in areas that have higher priorities for RL allocation. Thus, allocation or compensation of environmental debts in other basins, as the New Forest Code allows, should be taken with care, as legal reserves might be placed in low priority areas. Critic watersheds criteria determined the outcomes, but also the priority areas defined by São Paulo state. In the beginning of the UN Decade on Restoration, this study provides inputs to regularize rural properties and for increasing native vegetation cover. © 2022","Landscape planning; Priority areas; Public policy; Restoration; Watershed","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85129630822"
"Lee Y.-J.","Lee, Young-Jin (57222600171)","57222600171","A study on the introduction of zoning in biosphere reserves: Focusing on the laws related protected areas","2021","Journal of People, Plants, and Environment","24","1","","95","105","10","0","10.11628/ksppe.2021.24.1.95","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103418934&doi=10.11628%2fksppe.2021.24.1.95&partnerID=40&md5=1b4ce25884e2e993d366d9c96e5bb4f2","Background and objective: A biosphere reserve is a complex concept that combines the preservation of biodiversity and the sustainable development with the region, outstanding ecosystems with worth conserving in worldwide. The purpose of this study is to suggest the way of zoning that can perform the functions of conservation, development, and logistics support of biosphere reserves. Methods: To meet the purpose of this study, the designation criteria, restrictions, and permissions of the protected area specified in the law for domestic protected areas were reviewed to classify the functions of a biosphere reserve. Results: Through this classification, 10 domestic protected areas with high ecological protection value, such as the natural beauty of the ecosystem, biodiversity, and habitats for wild animals and plants were derived as the core areas of the biosphere reserves. Also, a total of 21 protected zones that can function as a buffer to protect the core of the natural ecosystem from indiscriminate development such as resource protection, recovery, pollution prevention, and improvement were derived as appropriate sites for a buffer. In the review process, issues such as different behavioral restrictions and ranges of permission due to the application of different laws were identified, if two or more protected areas exist within one of the protected areas, there is a protected area that does not meet the criteria for designating use zone, or where behavior restrictions do not meet the zoning criteria of biosphere reserve, under the laws of domestic protected areas. Conclusion: Although this study was not able to carefully review most of the laws on domestic protected areas that are linked to other laws, it was able to categorize appropriate domestic protected areas that can act as the core and buffer zones of biosphere reserves. © 2021 by the Society for People, Plants, and Environment.","Buffer area; Core area; Designation standards; Restrictions on acts","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85103418934"
"Diggon S.; Bones J.; Short C.J.; Smith J.L.; Dickinson M.; Wozniak K.; Topelko K.; Pawluk K.A.","Diggon, Steve (57208596415); Bones, John (6507954297); Short, Charles J. (55511456800); Smith, Joanna L. (57218091577); Dickinson, Megan (53867811300); Wozniak, Kelly (57217197393); Topelko, Karen (10042567300); Pawluk, Kylee A. (56002351000)","57208596415; 6507954297; 55511456800; 57218091577; 53867811300; 57217197393; 10042567300; 56002351000","The Marine Plan Partnership for the North Pacific Coast – MaPP: A collaborative and co-led marine planning process in British Columbia","2022","Marine Policy","142","","104065","","","","11","10.1016/j.marpol.2020.104065","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086739088&doi=10.1016%2fj.marpol.2020.104065&partnerID=40&md5=adac2bc31cfd3a02b266df9f8c8d3c7d","For more than a decade, marine spatial planning has been used around the world to advance objectives for conservation, economic development, and ecosystem-based management. Ecosystem-based management (EBM) in British Columbia began with the development of land use plans in the 1990s to address coastal and land use issues related to terrestrial land management. Managing marine resources is challenging on Canada's Pacific coast because of multiple, overlapping jurisdictions, unceded indigenous territories, and lack of coordination amongst governments in the region and their agencies. The Marine Plan Partnership for the North Pacific Coast (MaPP) was formed in 2011 and was a co-led partnership between 18 First Nations’ and the Province of British Columbia governments. The purpose of the MaPP Initiative was to develop and implement marine plans for 102,000 square kilometers of coastal and offshore water in northern British Columbia. A co-led governance framework included the member First Nations and the Provincial government structured into multiple levels of decisions making, conflict resolution, and technical support. Integral to the planning process was broad and continual stakeholder engagement through multiple advisory committees as well as public engagement. The planning process made use of multiple information sources including traditional, scientific, and local knowledge and was completed in 3.5 years. The result was the development and signing into policy of four sub-regional marine plans (one for each of the four MaPP sub-regions: Haida Gwaii, North Coast, Central Coast, and North Vancouver Island) and a Regional Action Framework. The sub-regional plans delineate protection, special, and general management zones for multiple objectives and will inform future policy decisions for marine protected areas, tenures, resource management and coastal development through an EBM approach. The plans will inform permits for marine tenures including aquaculture, offshore renewable energy siting, contribute to Canada's marine protected areas network, and improve coastal infrastructure. The Regional Action Framework highlights activities to occur across the entire region through five main activity areas (Regional Governance, Ecological Integrity and Human Well-being, Compliance and Enforcement, Cumulative Effects Assessment, and Zoning Recommendations). Funding for planning was through a public-private model that also supported the development of the plans and decision support tools (e.g. planning and mapping portal). Discussions regarding implementation began during the planning phase to ensure long-term commitment from the Partners and continuity to improve decision making and management within the MaPP area. The process design and methodology created by MaPP can be a model for planning in areas that involve multiple authorities, complex geographies and jurisdictional arrangements that can be scaled up for regional, cross border, and transboundary marine spatial planning. © 2020","Ecosystem based management; Governance; Indigenous based planning; Marine conservation; Marine spatial planning; Zoning","British Columbia; Canada; Pacific Coast [Canada]; Pacific Coast [North America]; Pacific Ocean; Pacific Ocean (North); conservation management; decision support system; ecosystem management; governance approach; land use planning; marine policy; partnership approach; planning process; resource management; spatial planning; zoning policy","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85086739088"
"Corbisiero F.","Corbisiero, Fabio (55959949700)","55959949700","How to learn being a sustainable tourist through Marine Protected Areas: The case of Gaiola Naples; [Come apprendere ad essere un turista sostenibile attraverso le Aree Marine Protette: Il caso del Parco Sommerso di Gaiola Napoli]","2021","Sociologia Urbana e Rurale","","126","","151","172","21","0","10.3280/SUR2021-126009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125743392&doi=10.3280%2fSUR2021-126009&partnerID=40&md5=655a9f42248f5a7860436db1b61a7f69","Marine Protected Areas perform three key functions: preserving marine biodiversity, contributing to the local economy, supporting sustainable tourism enjoyment processes. In Italy, MPAs are created both for the preservation of naturalistic landscapes and as an environmental education device. This essay considers the case of the Submerged Marine Park of Gaiola in Naples by exploring, through the ethnographic approach, the socio-cultural implications that shape a relationship between visitors, environmental protection and tourist practice. © 2021 Franco Angeli Edizioni. All rights reserved.","Marine Protected Areas; Submerged Marine Park; Sustainable tourism; Tourists; Visitors; Zoning","","Article","Final","","Scopus","2-s2.0-85125743392"
